Gene	logFC	padj.value
LINC00485	0.00303	0.788205
LINC00486	-1.33E-14	1
LINC00487	-0.113	0.674644
LINC00488	0.00142	0.999602
LINC00493	-0.0988	0.642543
LINC00494	0.028	0.713681
LINC00514	0.0612	0.035042
LINC00515	0.00403	0.768279
LINC00518	-1.33E-14	1
LINC00520	0.0603	0.569304
LINC00521	-0.00228	0.900803
LINC00523	0.0731	0.580057
LINC00526	-0.0562	0.137465
LINC00528	-0.00389	1
LINC00535	0.0108	0.34494
LINC00540	0.00628	0.987774
LINC00543	-0.000779	0.832319
LINC00544	0.00435	0.86184
LINC00551	-0.000929	0.981301
LINC00574	0.00198	0.888013
LINC00582	0.00253	0.930048
LINC00588	-1.33E-14	1
LINC00589	-0.00666	0.595241
LINC00592	0.0299	0.415514
LINC00593	0.00000315	1
LINC00597	-0.0563	0.937894
LINC00598	-1.33E-14	1
LINC00599	0.0151	0.786887
LINC00605	-0.0000352	1
LINC00606	-1.33E-14	1
LINC00608	-0.00069	0.735187
LINC00612	-1.33E-14	1
LINC00619	-1.33E-14	1
LINC00620	-1.33E-14	1
LINC00626	-0.000214	0.944971
LINC00628	0.0417	0.607003
LINC00629	0.021	0.804394
LINC00630	-0.0000262	1
LINC00632	-0.00434	0.832319
LINC00635	-1.33E-14	1
LINC00636	0.0116	0.829437
LINC00638	0.00672	0.982177
LINC00639	-0.00803	0.775984
LINC00642	-0.00245	0.827751
LINC00643	0.000964	0.630289
LINC00645	-1.33E-14	1
LINC00648	-1.33E-14	1
LINC00656	0.000647	0.435442
LINC00658	-0.0113	0.793785
LINC00661	0.000885	0.530296
LINC00662	-0.00611	0.71006
LINC00663	0.0586	0.379614
LINC00664	0.0417	0.884404
LINC00665	0.0497	0.737586
LINC00667	-0.1	0.379061
LINC00668	0.00685	1
LINC00671	0.0268	0.714982
LINC00672	0.265	0.145712
LINC00673	0.0161	0.3627
LINC00674	-0.0135	0.903497
LINC00675	0.0142	0.866891
LINC00687	-0.000708	0.962702
LINC00689	-0.000354	0.844984
LINC00691	0.0219	0.314793
LINC00692	0.0127	0.574739
LINC00698	-0.00351	0.856178
LINC00705	-1.33E-14	1
LINC00708	0.00141	1
LINC00710	-0.00000312	1
LINC00837	-0.00204	0.824201
LINC00838	-1.33E-14	1
LINC00839	0.000495	0.601033
LINC00842	-1.33E-14	1
LINC00844	-1.33E-14	1
LINC00845	-1.33E-14	1
LINC00847	-0.0788	0.688269
LINC00851	0.0422	0.569762
LINC00852	-0.00105	0.835387
LINC00856	-1.33E-14	1
LINC00858	-1.33E-14	1
LINC00865	-0.00714	0.849018
LINC00867	-1.33E-14	1
LINC00870	0.00118	0.50723
LINC00877	0.0622	0.773729
LINC00879	-0.0000144	1
LINC00880	-0.00396	0.906003
LINC00881	0.00104	1
LINC00886	0.111	0.356146
LINC00888	-0.0507	0.739224
LINC00889	-0.000377	0.843162
LINC00893	-0.0223	0.903497
LINC00894	-0.00497	0.941281
LINC00896	-0.00524	1
LINC00899	-0.0572	0.274291
LINC00900	-0.00193	0.78022
LINC00901	-0.000517	0.835427
LINC00905	0.00212	0.492933
LINC00906	-0.00742	0.852424
LINC00908	-1.33E-14	1
LINC00909	-0.357	0.069185
LINC00910	0.00199	0.580906
LINC00917	0.0024	0.783721
LINC00919	-0.00159	1
LINC00920	-0.00465	0.698405
LINC00921	-0.146	0.694596
LINC00922	0.0295	0.553754
LINC00923	0.0376	0.692661
LINC00924	-1.33E-14	1
LINC00926	-0.478	0.057349
LINC00927	0.0011	0.511306
LINC00928	0.00808	0.925714
LINC00930	0.0635	0.559272
LINC00933	-0.00309	0.903278
LINC00934	0.0143	0.42048
LINC00935	0.0141	0.476081
LINC00936	-0.064	0.958961
LINC00938	-0.0762	0.078656
LINC00939	0.00387	0.815399
LINC00942	-0.00083	0.739311
LINC00943	-1.33E-14	1
LINC00944	-0.0276	0.760384
LINC00950	-0.00122	0.849018
LINC00957	0.0825	0.314917
LINC00959	-0.121	0.724362
LINC00961	0.0359	0.769032
LINC00963	0.443	0.084368
LINC00964	-1.33E-14	1
LINC00967	0.00332	1
LINC00968	-0.0107	1
LINC00969	0.0033	1
LINC00973	-1.33E-14	1
LINC00982	-0.000995	0.562015
LINC00996	-0.0014	0.724362
LINC00997	0.0000934	0.93557
LINC01003	-0.221	0.140655
LINC01006	-0.00844	0.808033
LINC01007	-0.0295	0.525207
LINC01010	0.000216	0.789684
LINC01012	-0.000181	0.874389
LINC01013	-0.00608	0.692156
LINC01015	-0.0171	0.737878
LINC01016	-0.000221	0.871094
LINC01018	0.0000736	0.969713
LINC01019	-0.000723	0.705504
LINC01020	-0.0000186	1
LINC01056	-1.33E-14	1
LINC01082	-0.00513	0.786887
LINC01085	0.0291	0.288555
LINC01088	-0.00644	0.912117
LINC01089	0.00444	1
LINC01091	-0.00027	0.858292
LINC01093	0.416	0.354111
LINC01094	0.544	0.05612
LINC01095	-1.33E-14	1
LINC01096	-0.0146	0.754936
LINC01097	-1.33E-14	1
LINC01098	-1.33E-14	1
LINC01101	0.00902	0.822409
LINC01102	-0.00016	0.898816
LINC01104	0.0013	0.801083
LINC01105	-1.33E-14	1
LINC01107	0.0613	0.820447
LINC01114	-1.33E-14	1
LINC01115	-0.0363	0.643917
LINC01116	-0.0000612	0.992754
LINC01118	0.0748	0.393225
LINC01119	0.0104	0.815792
LINC01120	0.000827	0.530748
LINC01122	-1.33E-14	1
LINC01125	-0.0166	0.902182
LINC01126	-0.0152	0.748929
LINC01128	-0.12	0.553703
LINC01133	-0.0202	0.402063
LINC01134	0.0375	0.518801
LINC01136	-0.0102	0.843162
LINC01137	0.054	0.819625
LINC01139	-0.00248	0.729973
LINC01140	-0.0000843	0.971022
LINC01141	0.00349	0.487346
LINC01142	-0.000429	0.831886
LINC01144	0.0304	0.601356
LINC01158	0.0373	0.59856
LINC01184	0.000502	0.982284
LINC01187	-0.00115	0.831886
LINC01191	-1.33E-14	1
LINC01192	-1.33E-14	1
LINC01197	-1.33E-14	1
LINC01207	-1.33E-14	1
LINC01208	0.0549	0.050855
LINC01210	-0.00103	0.716707
LINC01225	0.0312	0.569625
LINC01226	-0.00509	1
LINC01233	-0.000747	0.93318
LINC01234	0.00201	0.961985
LINC01252	-0.0000279	1
LINC01257	-0.00012	1
LINC01260	-0.0364	0.485729
LINC01270	0.341	0.526014
LINC01272	0.475	0.041341
LINC01278	0.039	0.910846
LINC01279	-1.33E-14	1
LINC01300	0.0283	0.283275
LINC01304	0.00967	0.502853
LINC01310	0.000311	1
LINC01312	0.000062	1
LINC01330	-1.33E-14	1
LINC01341	0.109	0.3314
LINC01354	-0.00274	0.709209
LINC01364	0.00283	0.398374
LINC01366	-0.00882	0.5857
LINC01405	0.0231	0.944998
LINC01420	-0.0905	0.789684
LINC01426	-0.0000145	1
LINC01431	-0.00563	0.842322
LINC01465	0.0000262	1
LINC01503	0.568	0.013154
LINC01504	0.00627	1
LINC01511	0.0211	0.64275
LINC01512	0.0238	0.523087
LINC01532	0.0782	0.144571
LINC01538	-1.33E-14	1
LINC01539	0.000265	0.744406
LINC01541	-0.000255	0.794919
LINC01547	-0.00309	1
LINC01549	-0.0000229	1
LINC01550	0.00648	0.633541
LINC01551	-0.0072	0.887309
LINC01553	-1.33E-14	1
LINC01554	-0.00619	0.867947
LINC01555	-0.000705	0.71443
LINC01558	-0.000172	0.903497
LINC01561	0.00632	0.26976
LINC01565	-0.0038	0.943697
LINC01566	0.0278	0.782694
LINC01568	-1.33E-14	1
LINC01569	0.0327	0.814718
LINC01587	-1.33E-14	1
LINC01588	-0.00167	1
LINC01590	-0.0106	0.852886
LINC01592	0.000508	1
LINC01599	0.023	0.830387
LINC01622	0.00234	0.897077
LINGO1	0.0542	0.498187
LINGO2	0.114	0.477461
LINGO3	0.0168	0.975958
LINS1	-0.0792	0.692767
LIPA	0.0471	0.980402
LIPC	0.117	0.395066
LIPE	0.00337	0.933121
LIPF	0.000465	1
LIPG	-1.33E-14	1
LIPH	-0.00175	0.866387
LIPI	0.000054	1
LIPJ	-0.000000152	1
LIPT1	-0.512	0.112683
LITAF	0.128	0.120705
LIX1	-1.33E-14	1
LKAAEAR1	0.0252	0.445403
LLGL1	0.129	0.12829
LLGL2	0.00628	1
LLPH	-0.176	0.250909
LMAN1	-0.103	0.18599
LMAN1L	0.0135	0.384662
LMAN2	0.145	0.140655
LMAN2L	0.0633	0.690611
LMBR1	-0.0008	1
LMBR1L	-0.0011	1
LMBRD1	-0.169	0.211076
LMBRD2	0.00607	0.32521
LMCD1	-1.33E-14	1
LMF1	0.022	0.48932
LMF2	0.0527	0.557572
LMLN	-0.000964	0.827751
LMNA	0.155	0.220193
LMNB1	0.236	0.276102
LMNB2	-0.0126	0.880712
LMNTD1	-0.00396	0.968078
LMNTD2	0.169	0.147179
LMO1	-0.0013	1
LMO2	-0.17	0.215784
LMO3	-1.33E-14	1
LMO4	-0.00659	0.692661
LMO7	-1.33E-14	1
LMO7DN	-1.33E-14	1
LMOD1	0.0947	0.407612
LMOD2	-0.000121	0.90873
LMOD3	-0.0000134	1
LMTK2	0.0419	0.77463
LMTK3	-0.00966	0.847732
LMX1A	0.00203	0.503026
LMX1B	-0.0132	0.705335
LNP1	0.0347	0.207402
LNPEP	-0.0435	0.319856
LNX1	-0.0137	0.688468
LNX2	-0.221	0.320782
LOH12CR2	0.00641	1
LONP1	-0.108	0.709889
LONP2	-0.0854	0.817516
LONRF1	-0.314	0.136892
LONRF2	-0.0000987	0.950053
LONRF3	0.167	0.153276
LOR	-0.00126	0.745103
LOX	-1.33E-14	1
LOXHD1	-0.0117	0.832479
LOXL1	0.506	0.022502
LOXL1-AS1	0.2	0.332218
LOXL2	0.000762	0.880712
LOXL3	0.0463	0.783126
LOXL4	0.0417	0.636533
LPA	-0.00708	0.693435
LPAL2	0.000822	1
LPAR1	0.0102	1
LPAR2	0.0665	0.832319
LPAR3	-0.0185	0.696419
LPAR4	-0.0014	1
LPAR5	-0.0476	0.74584
LPAR6	-0.509	0.188207
LPCAT1	0.129	0.513811
LPCAT2	-0.0171	1
LPCAT3	0.357	0.054203
LPCAT4	0.0351	0.884404
LPGAT1	-0.00932	1
LPIN1	-0.131	0.568529
LPIN2	-0.101	0.691574
LPIN3	0.0722	0.837879
LPL	-0.127	0.356146
LPO	0.0297	0.69374
LPP	0.0445	0.642726
LPP-AS2	-0.0056	0.833787
LPXN	-0.0972	0.789078
LRAT	0.000744	0.663189
LRBA	-0.0788	0.788662
LRCH1	-0.00668	0.866387
LRCH2	-0.00114	0.804786
LRCH3	-0.0827	0.682157
LRCH4	0.0842	0.334753
LRFN1	0.184	0.083864
LRFN2	-0.000212	0.874851
LRFN3	-0.011	0.964468
LRFN4	0.038	0.798981
LRFN5	-0.00158	0.999551
LRG1	0.536	0.026724
LRGUK	0.000342	0.856568
LRIF1	-0.337	0.057349
LRIG1	-0.117	0.189184
LRIG2	-0.00253	0.552897
LRIG3	-1.33E-14	1
LRIT1	-0.00145	0.832319
LRMP	-0.209	0.107825
LRP1	0.255	0.092425
LRP10	0.224	0.094076
LRP11	-0.00491	0.850918
LRP12	0.000416	0.769893
LRP1B	-1.33E-14	1
LRP2	-0.0057	0.906639
LRP2BP	-1.33E-14	1
LRP3	-0.013	0.654227
LRP4	0.0011	0.527104
LRP5	-0.0055	0.798981
LRP5L	-0.0303	0.897268
LRP6	0.00131	0.26522
LRP8	-0.000986	1
LRPAP1	0.334	0.028209
LRPPRC	-0.251	0.312978
LRR1	-0.235	0.391196
LRRC1	-0.0156	0.719106
LRRC10B	0.0248	0.426908
LRRC14	0.0262	0.400075
LRRC15	0.00566	0.271166
LRRC16A	-0.00552	0.786707
LRRC16B	0.0917	0.587934
LRRC17	-1.33E-14	1
LRRC18	-0.013	0.712112
LRRC19	-1.33E-14	1
LRRC2	-0.00115	0.876081
LRRC20	0.00224	1
LRRC23	-0.00469	0.988731
LRRC25	0.0711	0.807746
LRRC27	-0.00069	0.874852
LRRC28	0.018	1
LRRC29	0.229	0.114791
LRRC3	-0.0000496	1
LRRC31	-0.000212	0.957396
LRRC32	-0.000818	0.784137
LRRC34	-0.0000288	1
LRRC36	-0.00233	0.891613
LRRC37A3	0.0806	0.871039
LRRC37A5P	-0.00845	0.705335
LRRC37B	-0.0806	0.726772
LRRC39	-0.0533	0.714171
LRRC3B	-0.00148	0.789804
LRRC3DN	0.00603	0.993719
LRRC4	0.134	0.56884
LRRC40	-0.574	0.09229
LRRC41	-0.0351	0.920097
LRRC42	-0.125	0.566664
LRRC43	0.0115	0.76316
LRRC45	0.0272	0.700792
LRRC46	-0.00707	0.940826
LRRC47	-0.0936	0.634187
LRRC49	-0.0048	0.849413
LRRC4B	-0.00291	0.907352
LRRC4C	-0.0146	0.962702
LRRC52	-0.00332	0.713055
LRRC55	-0.000186	0.862681
LRRC56	0.0616	0.494907
LRRC57	-0.0622	0.801509
LRRC58	-0.095	0.288248
LRRC59	0.0492	0.864192
LRRC6	-0.247	0.489738
LRRC61	0.178	0.297491
LRRC66	0.0628	0.167445
LRRC7	-1.33E-14	1
LRRC70	0.429	0.334753
LRRC71	-0.0323	0.405019
LRRC72	0.0417	0.832319
LRRC73	-0.00052	0.934556
LRRC74A	-0.0145	0.918724
LRRC74B	-1.33E-14	1
LRRC75A	-0.109	0.809184
LRRC75A-AS1	-0.00922	0.987008
LRRC75B	0.0776	0.532002
LRRC8A	0.0933	0.727198
LRRC8B	-0.136	0.429266
LRRC8C	-0.286	0.315997
LRRC8D	-0.233	0.127643
LRRC8E	0.0000826	0.955345
LRRCC1	-0.012	0.755103
LRRFIP1	-0.0821	0.600295
LRRFIP2	0.231	0.16911
LRRIQ3	0.000176	1
LRRK1	0.0677	0.70556
LRRK2	-0.352	0.040591
LRRN1	0.188	0.832319
LRRN2	0.00295	1
LRRN3	-0.565	0.290392
LRRN4	0.000756	0.538699
LRRN4CL	0.000189	0.824605
LRRTM1	0.0176	0.513588
LRRTM2	0.00474	0.299891
LRRTM4	-0.000408	0.761858
LRSAM1	0.0622	0.684718
LRTM1	-1.33E-14	1
LRTM2	0.0161	0.85858
LRTOMT	0.00317	0.928544
LRWD1	0.0726	0.832319
LSAMP	-1.33E-14	1
LSAMP-AS1	0.00102	1
LSG1	0.0386	0.956591
LSM1	-0.157	0.487346
LSM10	-0.00264	1
LSM11	-0.00123	0.831117
LSM14A	-0.13	0.110107
LSM14B	-0.00737	0.937289
LSM2	-0.0295	0.983986
LSM3	-0.298	0.159786
LSM4	-0.146	0.619161
LSM5	-0.289	0.071873
LSM6	-0.0922	0.692767
LSM7	-0.268	0.366691
LSM8	-0.226	0.132161
LSMEM1	0.0667	0.847732
LSMEM2	0.00588	0.655599
LSP1	0.216	0.400841
LSR	-0.149	0.637462
LSS	0.128	0.240276
LST1	0.0967	0.526014
LTA	0.00337	1
LTA4H	0.214	0.331315
LTB	-0.0619	0.834423
LTB4R	0.166	0.583254
LTB4R2	-0.00127	0.831886
LTBP1	0.239	0.059522
LTBP2	0.0694	0.815399
LTBP3	0.0692	0.631986
LTBP4	0.013	0.809322
LTBR	0.242	0.017554
LTC4S	-0.00439	1
LTF	-0.0759	0.987293
LTK	-0.0132	0.540933
LTN1	-0.107	0.51297
LTV1	-0.263	0.222039
LUC7L	-0.094	0.450547
LUC7L2	-0.0752	0.767774
LUC7L3	-0.459	0.023348
LUM	-0.0075	0.825333
LURAP1	0.0106	0.930014
LURAP1L	-0.00115	1
LUZP1	0.042	0.478887
LUZP2	0.00386	0.935931
LUZP4	0.0012	0.506368
LVRN	0.00093	0.331111
LXN	-0.375	0.082413
LY6D	0.0547	0.733209
LY6E	-0.186	0.80248
LY6G5B	0.0685	0.824201
LY6G5C	0.231	0.290153
LY6G6C	-0.00807	0.97817
LY6G6D	-0.00103	1
LY6G6E	-0.00259	0.993287
LY6G6F	0.258	0.461383
LY6H	-0.00216	0.920097
LY6K	-0.000386	0.825962
LY75	-0.264	0.187217
LY86	-0.229	0.608678
LY86-AS1	-1.33E-14	1
LY9	-0.289	0.222039
LY96	-0.0922	0.852424
LYAR	-0.133	0.503026
LYG1	-0.0188	0.910126
LYG2	0.0574	0.553623
LYL1	-0.00831	1
LYN	0.162	0.136657
LYNX1	-0.000213	0.87457
LYPD1	-1.33E-14	1
LYPD3	0.00034	0.686019
LYPD4	-0.00164	0.832319
LYPD5	0.0901	0.142384
LYPD6	0.000006	1
LYPD6B	0.000449	1
LYPLA1	-0.202	0.35328
LYPLA2	0.132	0.423386
LYPLA2P1	0.104	0.582341
LYPLAL1	-0.364	0.016656
LYRM1	0.0159	1
LYRM2	-0.0595	0.512113
LYRM4	-0.076	0.825333
LYRM5	-0.242	0.073019
LYRM7	-0.293	0.307347
LYRM9	-0.16	0.028111
LYSMD1	0.0193	0.965185
LYSMD2	-0.335	0.076797
LYSMD3	-0.333	0.121549
LYSMD4	-0.0262	0.849933
LYST	-0.105	0.760831
LYVE1	0.00814	0.829437
LYZ	-0.061	0.957396
LYZL4	0.0579	0.299345
LYZL6	-0.00658	0.487718
LZIC	-0.171	0.223403
LZTFL1	-0.191	0.254969
LZTR1	0.0123	1
LZTS1	-1.33E-14	1
LZTS2	-0.00109	0.678804
M1AP	-0.0135	0.695521
M6PR	-0.196	0.415514
MAATS1	-1.33E-14	1
MAB21L1	-0.000461	0.839003
MAB21L2	0.0000273	1
MAB21L3	-0.0038	1
MACC1	-1.33E-14	1
MACF1	0.101	0.588133
MACROD1	0.0366	0.615903
MACROD2	-0.0603	0.470772
MAD1L1	-0.116	0.801843
MAD2L1	-0.294	0.054203
MAD2L1BP	-0.0984	0.558104
MAD2L2	0.236	0.110379
MADCAM1	-0.0187	0.98498
MADD	0.0481	0.668099
MAEA	0.0402	0.906639
MAEL	0.00153	0.498817
MAF	-0.118	0.322954
MAF1	0.0203	1
MAFB	0.158	0.719322
MAFF	0.0588	0.889249
MAFG	0.117	0.350632
MAFG-AS1	0.0193	0.91482
MAFK	0.0803	0.477312
MAG	0.00735	0.969338
MAGEA1	-1.33E-14	1
MAGEA10	-0.0000134	1
MAGEA11	-0.00158	0.839585
MAGEA4	-1.33E-14	1
MAGEA5	-0.00017	0.87294
MAGEA8	-0.000118	0.913737
MAGEB1	0.00147	0.51237
MAGEB18	-0.00073	0.889392
MAGEB2	-0.0148	0.861266
MAGEB3	-0.000106	0.941281
MAGEB4	-0.000295	0.837618
MAGEB6	-0.00122	1
MAGEC1	-1.33E-14	1
MAGEC2	-1.33E-14	1
MAGEC3	-0.000029	1
MAGED1	-0.0211	1
MAGED2	0.103	0.498378
MAGEE1	-0.0243	0.560659
MAGEE2	0.000238	0.769053
MAGEF1	-0.163	0.26152
MAGEH1	-0.285	0.385427
MAGEL2	-1.33E-14	1
MAGI1	-1.33E-14	1
MAGI1-IT1	-0.0028	0.698405
MAGI2	-1.33E-14	1
MAGI2-AS3	0.00104	0.516968
MAGI3	0.000956	0.831687
MAGIX	-0.000708	0.833644
MAGOH	-0.28	0.284308
MAGOHB	0.00803	0.517696
MAGT1	0.0728	0.709586
MAK	0.157	0.692701
MAK16	-0.238	0.345637
MAL	-0.304	0.317183
MAL2	-0.000529	0.834423
MALAT1	-0.115	0.643046
MALRD1	-0.00326	0.769491
MALSU1	0.082	0.499411
MALT1	-0.518	0.03533
MAMDC2	-1.33E-14	1
MAMDC4	-0.0239	0.611963
MAML1	-0.0321	0.892016
MAML2	0.0105	1
MAML3	0.142	0.487346
MAMLD1	0.021	0.5191
MAMSTR	-0.0217	0.718912
MAN1A1	0.0361	1
MAN1A2	0.00106	0.987013
MAN1B1	-0.0113	1
MAN1B1-AS1	0.0496	0.46093
MAN1C1	-0.189	0.634111
MAN2A1	-0.0169	1
MAN2A2	-0.0297	0.993287
MAN2B1	0.0787	0.776527
MAN2B2	0.0452	0.821175
MAN2C1	-0.0938	0.496925
MANBA	-0.0641	0.742182
MANBAL	-0.0852	0.625058
MANEA	-0.017	0.628301
MANEAL	-0.00743	0.450291
MANF	0.0652	0.760831
MANSC1	0.117	0.751308
MAOA	-0.093	0.905705
MAOB	0.0569	0.184626
MAP10	-0.000971	0.832575
MAP1A	0.0505	0.322954
MAP1B	0.00244	0.922103
MAP1LC3A	0.167	0.533978
MAP1LC3B	-0.0333	0.916355
MAP1LC3C	0.0142	0.782648
MAP1S	0.214	0.321127
MAP2	0.000193	0.828221
MAP2K1	-0.103	0.675011
MAP2K2	0.0682	0.791145
MAP2K3	0.00506	1
MAP2K4	-0.134	0.545433
MAP2K5	-0.0185	0.970728
MAP2K6	0.197	0.567716
MAP2K7	0.0392	0.736724
MAP3K1	0.00718	1
MAP3K10	0.121	0.221115
MAP3K11	0.301	0.053408
MAP3K12	0.00453	1
MAP3K13	0.0124	0.674656
MAP3K14	-0.0377	0.90017
MAP3K14-AS1	0.109	0.134961
MAP3K19	-0.0000386	1
MAP3K2	-0.0673	0.776983
MAP3K3	0.165	0.379787
MAP3K4	-0.187	0.506368
MAP3K5	0.0752	0.711447
MAP3K6	-1.33E-14	1
MAP3K7	-0.174	0.312978
MAP3K7CL	-0.117	0.779723
MAP3K8	-0.17	0.426044
MAP3K9	0.00272	0.833236
MAP4	0.0114	0.709209
MAP4K1	-0.124	0.764708
MAP4K2	0.109	0.551543
MAP4K3	-0.513	0.064767
MAP4K4	0.106	0.62802
MAP4K5	-0.308	0.212145
MAP6	0.000451	0.621874
MAP6D1	0.0637	0.327997
MAP7	-0.0606	0.588133
MAP7D1	0.159	0.425992
MAP7D2	0.00201	0.939083
MAP7D3	0.000195	0.813055
MAP9	-0.000386	0.829726
MAPK1	0.0437	0.833885
MAPK10	-0.0000996	0.949329
MAPK11	0.00388	0.191928
MAPK12	-0.0116	0.937707
MAPK13	0.185	0.110361
MAPK14	0.358	0.120406
MAPK15	0.03	0.54106
MAPK1IP1L	-0.0249	0.894494
MAPK3	0.19	0.176543
MAPK4	-0.0000506	1
MAPK6	-0.321	0.464613
MAPK7	0.0587	0.664725
MAPK8	-0.00197	0.844321
MAPK8IP1	-0.0243	0.916579
MAPK8IP2	0.00102	0.976081
MAPK8IP3	0.0368	0.618735
MAPK9	-0.199	0.066772
MAPKAP1	0.0248	0.861372
MAPKAPK2	0.0957	0.828221
MAPKAPK3	0.0161	0.989765
MAPKAPK5	-0.166	0.311465
MAPKAPK5-AS1	-0.172	0.089138
MAPKBP1	-1.65E-08	1
MAPRE1	0.0856	0.437913
MAPRE2	0.0497	0.746132
MAPRE3	0.000078	1
MAPT	0.00691	0.32309
MAPT-AS1	-0.000997	0.811851
MARCKS	0.312	0.125508
MARCKSL1	-0.0269	0.986602
MARCO	0.41	0.135741
MARK1	-1.33E-14	1
MARK2	0.261	0.29776
MARK3	-0.00843	1
MARK4	0.069	0.824773
MARS	0.0427	0.832617
MARS2	-0.0139	0.888013
MARVELD1	-0.000332	1
MARVELD2	0.0423	0.111186
MARVELD3	0.00292	0.908547
MAS1	-0.00191	0.795119
MAS1L	0.00186	0.972568
MASP1	-1.33E-14	1
MASP2	0.000398	1
MAST1	0.00172	0.292982
MAST2	-0.00207	1
MAST3	0.156	0.501232
MAST4	0.217	0.102046
MASTL	-0.21	0.516393
MAT1A	0.00351	0.561347
MAT2A	0.00499	1
MAT2B	-0.211	0.071998
MATK	0.101	0.768309
MATN1	0.0152	0.289918
MATN1-AS1	-0.0645	0.199069
MATN2	-0.0000275	1
MATN3	0.000664	0.668667
MATN4	0.0318	0.499429
MATR3	-0.323	0.057693
MAU2	0.0118	0.991607
MAVS	0.0541	0.788988
MAX	-0.00461	1
MAZ	0.0359	0.908547
MB	-0.0104	0.881058
MB21D1	0.17	0.384407
MB21D2	-0.0508	0.804945
MBD1	0.0128	0.946139
MBD2	-0.000903	0.809184
MBD3	0.043	0.91169
MBD3L1	0.00257	0.931497
MBD4	-0.133	0.193267
MBD5	-0.0427	0.850817
MBD6	0.152	0.496925
MBIP	-0.318	0.028111
MBL1P	0.00401	0.983986
MBL2	0.000606	1
MBLAC1	0.0929	0.190663
MBLAC2	-0.0266	0.322954
MBNL1	-0.411	0.011892
MBNL1-AS1	0.00428	1
MBNL2	-0.042	0.215784
MBNL3	-0.0964	0.86391
MBOAT1	-0.0808	0.639782
MBOAT2	0.111	0.587566
MBOAT7	0.217	0.241749
MBP	0.0166	1
MBTD1	-0.0715	0.490415
MBTPS1	-0.131	0.386739
MBTPS2	-0.018	0.681791
MC1R	-0.00241	1
MC2R	-1.33E-14	1
MC3R	0.00358	0.694696
MC4R	-0.0000478	1
MC5R	-1.33E-14	1
MCAM	-0.00835	0.830262
MCAT	0.0533	0.774175
MCC	-0.000709	0.833142
MCCC1	-0.194	0.271982
MCCC2	-0.177	0.384662
MCEE	-0.36	0.13195
MCEMP1	0.622	0.011901
MCF2	-1.33E-14	1
MCF2L	-1.33E-14	1
MCF2L-AS1	0.00245	0.815399
MCF2L2	0.002	0.378468
MCFD2	-0.231	0.020384
MCHR1	-1.33E-14	1
MCHR2	0.0144	0.366998
MCHR2-AS1	0.117	0.337667
MCL1	-0.0866	0.638535
MCM10	-0.00407	0.727887
MCM2	-0.0707	0.780542
MCM3	-0.00583	1
MCM3AP	-0.0164	0.886468
MCM3AP-AS1	-0.034	0.739162
MCM4	0.00203	0.967004
MCM5	-0.0146	1
MCM6	0.037	0.570364
MCM7	-0.0886	0.618361
MCM8	-0.0334	0.624864
MCM9	-0.034	0.774075
MCMBP	-0.00993	1
MCMDC2	-1.33E-14	1
MCOLN1	0.0631	0.941653
MCOLN2	-0.067	0.683658
MCOLN3	-0.00216	0.658484
MCPH1	0.00324	1
MCPH1-AS1	-0.00948	0.937825
MCRS1	0.0293	0.901688
MCTP1	0.224	0.702217
MCTP2	0.311	0.077338
MCTS1	-0.0965	0.415514
MCU	-0.0101	1
MCUR1	-0.175	0.566664
MDC1	-0.0492	0.717781
MDFI	0.03	0.639848
MDFIC	-0.343	0.135034
MDGA1	-0.0132	0.815757
MDGA2	-0.000296	0.844243
MDH1	-0.246	0.309913
MDH1B	-1.33E-14	1
MDH2	-0.132	0.47113
MDK	0.0262	0.937894
MDM1	-0.19	0.169949
MDM2	-0.0444	0.847638
MDM4	-0.0654	0.582494
MDN1	0.00283	0.714982
MDP1	-0.0249	0.950492
MDS2	-0.166	0.268239
ME1	0.0145	0.390253
ME2	-0.00232	1
ME3	0.00103	1
MEA1	0.0189	0.975654
MEAF6	-0.111	0.226691
MECOM	0.0000225	1
MECP2	0.0632	0.517696
MECR	0.0101	1
MED1	0.0316	0.906003
MED10	-0.219	0.124232
MED11	0.0785	0.553754
MED12	0.256	0.358302
MED12L	-1.33E-14	1
MED13	-0.00741	1
MED13L	-0.000612	1
MED14	-0.114	0.338386
MED15	0.0587	0.763442
MED16	0.0753	0.781538
MED17	-0.108	0.226018
MED18	0.0265	0.570902
MED19	-0.0907	0.784864
MED20	0.00941	0.964089
MED21	-0.406	0.101772
MED22	0.0507	0.737878
MED23	-0.086	0.575231
MED24	-0.102	0.738209
MED25	0.0446	0.930761
MED26	0.0000807	1
MED27	0.0762	0.72468
MED28	-0.122	0.376145
MED29	-0.0353	0.859389
MED30	-0.187	0.087182
MED31	-0.0408	0.705815
MED4	-0.175	0.205975
MED6	-0.158	0.223122
MED7	-0.226	0.414389
MED8	0.0934	0.174665
MED9	0.0191	0.828805
MEDAG	-0.0138	0.995089
MEF2A	0.104	0.783721
MEF2C	-0.238	0.35434
MEF2D	0.0442	0.772436
MEFV	0.0827	0.786887
MEG3	0.00149	0.316612
MEG9	-0.000609	1
MEGF10	-1.33E-14	1
MEGF11	-0.00104	0.802784
MEGF6	-0.0588	0.79832
MEGF8	-0.0127	0.90615
MEGF9	-0.115	0.678804
MEI1	0.00432	0.967978
MEIG1	-0.00898	0.727887
