Gene	deGoede2017.padj	deGoede2017.logFC
MIR512-2	0.99	-0.0208
MIR515-1	0.99	0.00592
MIR516A1	0.99	-0.0125
MIR516A2	0.99	-0.0192
MIR516B1	0.99	0.0102
MIR516B2	0.99	-0.0152
MIR517A	0.99	-0.0238
MIR517B	0.99	-0.00912
MIR517C	0.99	-0.00491
MIR5186	0.99	-0.014
MIR5188	0.00411	-0.0685
MIR518A1	0.99	-0.0223
MIR518A2	0.99	-0.0295
MIR518B	0.99	0.0124
MIR518C	0.99	-0.0208
MIR518D	0.99	-0.0488
MIR518E	0.99	0.017
MIR518F	0.99	-0.0171
MIR5197	0.99	-0.0114
MIR519A1	0.99	0.00549
MIR519A2	0.99	-0.0142
MIR519B	0.99	-0.0104
MIR519C	0.99	-0.011
MIR519D	0.99	-0.0477
MIR519E	0.99	-0.029
MIR520A	0.99	-0.0237
MIR520B	0.99	-0.0119
MIR520C	0.99	-0.0362
MIR520D	0.99	-0.0135
MIR520F	0.99	0.0151
MIR521-1	0.99	-0.0174
MIR521-2	0.99	-0.0201
MIR522	0.99	-0.0298
MIR523	0.99	-0.00461
MIR524	0.99	-0.00531
MIR525	0.99	-0.0176
MIR526A1	0.99	-0.00346
MIR526A2	0.99	-0.0324
MIR526B	0.99	0.0217
MIR539	0.99	-0.044
MIR541	0.99	-0.0242
MIR543	0.99	-0.0132
MIR548A1	0.99	-0.0387
MIR548A3	0.702	0.0473
MIR548AA2	0.99	-0.0151
MIR548AC	0.99	0.0147
MIR548AE2	0.181	-0.00774
MIR548AI	0.99	-0.0223
MIR548AN	0.36	-0.0446
MIR548AP	0.183	-0.0478
MIR548AS	0.333	0.0726
MIR548F1	0.99	-0.0436
MIR548F5	0.845	-0.0444
MIR548G	0.414	-0.0673
MIR548H2	0.99	-0.0167
MIR548H3	0.42	0.0827
MIR548H4	0.0917	-0.0634
MIR548I1	0.236	-0.0211
MIR548I2	0.889	-0.0344
MIR548I3	0.99	-0.0274
MIR548M	0.99	-0.0175
MIR548N	0.833	-0.0277
MIR548O2	0.838	-0.0817
MIR548Q	0.99	-0.0199
MIR548X	0.99	-0.00655
MIR557	0.99	-0.0135
MIR5580	0.481	-0.0344
MIR563	0.99	0.0213
MIR564	0.99	-0.00401
MIR568	0.99	-0.0174
MIR5680	0.99	-0.0508
MIR5681A	0.99	-0.0153
MIR5689	0.99	0.0258
MIR5695	0.99	-0.0281
MIR5696	0.99	-0.00515
MIR570	0.99	-0.0348
MIR5700	0.0269	-0.0623
MIR5702	0.494	-0.073
MIR5703	0.63	-0.0177
MIR5707	0.99	-0.0103
MIR5708	0.99	-0.0151
MIR572	0.99	-0.0164
MIR573	0.99	-0.0163
MIR583	0.99	-0.0237
MIR596	0.0204	-0.0209
MIR600HG	0.63	-0.0714
MIR602	0.99	0.00456
MIR614	0.99	0.00206
MIR622	0.99	-0.0291
MIR630	0.99	-0.00335
MIR632	0.908	0.0398
MIR639	0.99	0.00196
MIR645	0.99	-0.00456
MIR646HG	0.00717	-0.136
MIR650	0.99	-0.0212
MIR654	0.99	-0.0245
MIR655	0.99	-0.00659
MIR656	0.99	-0.0156
MIR658	0.99	0.00241
MIR659	0.99	0.00389
MIR662	0.99	-0.00951
MIR663AHG	0.937	0.0215
MIR665	0.99	-0.00896
MIR668	0.99	-0.0266
MIR670	0.205	-0.0704
MIR7-2	0.99	-0.006
MIR7-3HG	0.684	0.0222
MIR758	0.99	-0.0129
MIR759	0.99	0.0342
MIR769	0.99	-0.00879
MIR889	0.99	-0.00424
MIR9-3	0.594	-0.042
MIR9-3HG	0.0381	-0.0178
MIR924HG	0.515	0.0284
MIR92B	0.99	-0.00376
MIR940	0.99	-0.0221
MIR96	0.99	-0.00766
MIR99AHG	0.99	-0.00601
MIR99B	0.99	-0.0338
MIRLET7A1	0.99	-0.00911
MIRLET7BHG	0.00174	0.0635
MIRLET7DHG	0.99	-0.00396
MIRLET7E	0.99	-0.0195
MIRLET7I	0.99	-0.0116
MIS12	0.99	-0.00363
MIS18A	0.99	-0.00692
MIS18BP1	0.9	-0.00886
MISP	0.954	-0.0939
MISP3	0.657	-0.0256
MITF	0.127	0.0634
MIXL1	0.599	-0.0641
MKI67	0.293	-0.0175
MKKS	0.0813	-0.0194
MKL1	0.99	0.0267
MKL2	0.0685	0.055
MKLN1	0.985	-0.027
MKNK1	0.99	-0.00521
MKNK1-AS1	0.955	0.0467
MKNK2	0.98	0.00476
MKRN1	0.0822	-0.0239
MKRN2	0.99	-0.00281
MKRN2OS	0.99	-0.0167
MKRN3	0.817	-0.0475
MKRN7P	0.99	0.00872
MKRN9P	0.99	-0.0384
MKS1	0.941	0.0362
MKX	0.41	0.0195
MLANA	0.99	-0.00303
MLC1	0.000628	-0.108
MLEC	0.99	0.00133
MLF1	0.772	-0.0163
MLF2	0.99	0.0098
MLH1	0.603	-0.00845
MLH3	0.9	-0.00642
MLIP	0.99	-0.0146
MLIP-IT1	0.99	0.00847
MLK4	0.99	-0.00428
MLK7-AS1	0.99	0.0196
MLKL	0.942	-0.00372
MLLT1	0.686	-0.00948
MLLT10	0.791	-0.0103
MLLT11	0.99	-0.00531
MLLT3	0.131	-0.129
MLLT6	0.99	0.0111
MLN	0.99	-0.0129
MLNR	0.309	0.172
MLPH	0.00158	0.0707
MLST8	0.99	-0.0368
MLX	0.99	0.0123
MLXIP	0.99	-0.00282
MLXIPL	0.99	-0.00327
MLYCD	0.99	-0.0159
MMAA	0.99	-0.00685
MMAB	0.882	-0.00602
MMACHC	0.99	-0.00203
MMADHC	0.99	-0.0275
MMD	0.101	-0.0513
MMD2	0.99	-0.0149
MME	0.516	-0.0133
MMEL1	0.148	0.0457
MMP10	0.932	-0.0495
MMP11	0.78	0.0342
MMP12	0.99	-0.027
MMP13	0.99	-0.0043
MMP14	0.471	-0.021
MMP15	0.106	0.0541
MMP16	0.99	0.00231
MMP17	0.0285	-0.036
MMP19	0.99	-0.029
MMP2	0.786	-0.00933
MMP20	0.99	-0.0153
MMP21	0.869	0.0271
MMP23B	0.99	0.00488
MMP24-AS1	0.99	-0.000977
MMP25	0.99	-0.0101
MMP26	0.99	-0.00935
MMP27	0.99	-0.0172
MMP28	0.99	-0.0192
MMP3	0.99	-0.0294
MMP7	0.674	-0.00579
MMP8	0.99	-0.0164
MMP9	0.483	-0.0723
MMRN1	0.99	-0.012
MMRN2	0.99	-0.0154
MMS19	0.759	-0.0105
MN1	0.588	0.0389
MNAT1	0.477	-0.0134
MND1	0.99	-0.00188
MNDA	0.99	-0.0101
MNS1	0.433	-0.0393
MNT	0.973	-0.0136
MNX1	0.594	0.0127
MNX1-AS1	0.00623	-0.0686
MOAP1	0.99	0.00051
MOB1A	0.99	-0.0181
MOB1B	0.99	-0.004
MOB2	0.0014	-0.104
MOB3A	0.0711	-0.0496
MOB3B	0.925	-0.0066
MOB3C	0.99	-0.00862
MOBP	0.352	0.0688
MOCOS	0.99	-0.00728
MOCS1	0.00215	-0.121
MOCS2	0.99	-0.0305
MOCS3	0.99	-0.00428
MOG	0.0049	-0.0805
MOGAT1	0.987	-0.00904
MOGAT2	0.982	0.0568
MOGAT3	0.99	-0.0102
MOGS	0.797	-0.00953
MOK	0.442	-0.0404
MON1A	0.494	0.0465
MON1B	0.692	-0.025
MON2	0.59	0.00958
MORC1	0.99	-0.0255
MORC2	0.99	-0.00269
MORC2-AS1	0.0436	-0.0789
MORC3	0.99	-0.0648
MORF4L1	0.465	0.0657
MORN1	0.459	-0.0326
MORN2	0.924	0.0197
MORN3	0.554	-0.00782
MORN5	0.99	-0.00954
MOS	0.733	-0.0186
MOSPD3	0.718	-0.00607
MOV10	0.99	-0.0207
MOV10L1	0.99	-0.00611
MOXD1	0.0441	0.0393
MOXD2P	0.99	-0.0114
MPC1	0.665	-0.00824
MPC2	0.99	-0.00263
MPDU1	0.99	0.000611
MPDZ	0.99	0.00108
MPEG1	0.99	-0.0302
MPG	0.485	-0.00587
MPHOSPH10	0.89	0.00656
MPHOSPH6	0.952	-0.00471
MPHOSPH8	0.883	-0.00475
MPHOSPH9	0.99	0.00833
MPI	0.00608	0.055
MPL	0.99	-0.0143
MPLKIP	0.99	-0.00352
MPND	0.99	-0.00909
MPO	0.99	-0.0318
MPP2	0.186	0.104
MPP3	0.551	0.0354
MPP4	0.99	-0.0169
MPP5	0.383	-0.0154
MPP6	0.62	0.00584
MPP7	0.99	-0.00147
MPPE1	0.656	0.0159
MPPED1	0.99	-0.0154
MPPED2	0.00565	0.0675
MPRIP	0.805	-0.034
MPST	0.99	-0.00336
MPV17	0.972	-0.0113
MPV17L	0.969	-0.0183
MPV17L2	0.00324	-0.0967
MPZ	0.99	0.00657
MPZL1	0.88	-0.00634
MPZL2	0.869	-0.0135
MPZL3	0.99	-0.0027
MR1	0.0769	-0.0315
MRAP	0.99	-0.0169
MRAP2	0.865	0.0185
MRAS	0.99	-0.016
MRC1	0.99	-0.00847
MRC2	0.99	-0.00546
MRE11A	0.737	-0.00517
MREG	0.99	-0.00137
MRFAP1	0.959	0.00464
MRFAP1L1	0.99	0.0242
MRGBP	0.424	0.00853
MRGPRD	0.99	-0.0149
MRGPRE	0.505	-0.0428
MRGPRF	0.104	-0.0465
MRGPRG	0.99	-0.00717
MRGPRG-AS1	0.181	-0.0581
MRGPRX1	0.99	-0.01
MRGPRX2	0.193	-0.0196
MRGPRX3	0.461	-0.0654
MRGPRX4	0.99	0.00319
MRI1	0.99	-0.000358
MRM1	0.0897	-0.0287
MRM2	0.99	-0.00532
MRM3	0.826	-0.0259
MRO	0.99	-0.00808
MROH1	0.99	-0.00474
MROH2B	0.99	-0.00833
MROH5	0.0146	-0.0666
MROH6	0.524	-0.0269
MROH7-TTC4	0.931	-0.0588
MROH8	0.889	-0.00405
MROH9	0.781	-0.0449
MRPL1	0.975	-0.00502
MRPL10	0.932	0.0101
MRPL11	0.99	-0.0349
MRPL13	0.954	0.00756
MRPL14	0.73	-0.0361
MRPL15	0.463	0.0859
MRPL16	0.0709	-0.104
MRPL17	0.99	-0.00257
MRPL18	0.404	0.00742
MRPL19	0.334	0.0408
MRPL20	0.99	0.00367
MRPL21	0.99	0.000418
MRPL22	0.99	-0.00885
MRPL23	0.415	0.0427
MRPL23-AS1	0.122	0.111
MRPL24	0.99	-0.00275
MRPL27	0.735	-0.00498
MRPL28	0.99	-0.0106
MRPL3	0.192	-0.0827
MRPL30	0.816	-0.00451
MRPL32	0.99	0.000661
MRPL33	0.126	-0.0673
MRPL34	0.99	-0.00365
MRPL35	0.99	-0.0103
MRPL36	0.21	0.0335
MRPL37	0.832	0.0355
MRPL39	0.99	-0.00545
MRPL4	0.762	0.00707
MRPL41	0.974	0.00407
MRPL42	0.99	-0.0192
MRPL43	0.99	0.000671
MRPL44	0.877	-0.00692
MRPL45	0.463	0.00896
MRPL45P2	0.99	0.00336
MRPL46	0.558	-0.00519
MRPL47	0.99	0.00887
MRPL48	0.99	-0.0029
MRPL49	0.99	0.00101
MRPL50	0.99	-0.00665
MRPL51	0.99	0.00171
MRPL52	0.0455	-0.0269
MRPL53	0.99	0.00495
MRPL54	0.99	0.000973
MRPL55	0.99	-0.000843
MRPL57	0.99	-0.00633
MRPL58	0.99	0.00035
MRPL9	0.99	-0.00258
MRPS10	0.99	-0.0228
MRPS11	0.653	-0.00804
MRPS14	0.358	-0.0452
MRPS15	0.99	0.00489
MRPS16	0.99	-0.00101
MRPS17	0.99	-0.00314
MRPS18A	0.99	0.00511
MRPS18B	0.99	-0.0154
MRPS18C	0.959	-0.00446
MRPS2	0.604	0.0328
MRPS21	0.99	0.00178
MRPS22	0.646	-0.0503
MRPS23	0.99	-0.00376
MRPS25	0.99	-0.000809
MRPS26	0.539	-0.00404
MRPS27	0.938	0.00799
MRPS28	0.000169	0.056
MRPS30	0.99	-0.00376
MRPS31	0.99	0.0398
MRPS31P5	0.99	0.00213
MRPS33	0.657	-0.00697
MRPS34	0.913	0.0395
MRPS35	0.0917	-0.0381
MRPS36	0.669	-0.00752
MRPS5	0.92	-0.0823
MRPS6	0.99	-0.0154
MRPS7	0.99	-0.0723
MRPS9	0.000124	0.0764
MRRF	0.162	0.031
MRS2	0.769	-0.00498
MRTO4	0.99	-0.00388
MRVI1	0.99	-0.00937
MRVI1-AS1	0.493	0.0254
MS4A1	0.99	-0.0146
MS4A10	0.99	0.00918
MS4A12	0.99	-0.0217
MS4A13	0.99	-0.0103
MS4A14	0.99	0.0135
MS4A15	0.99	-0.0186
MS4A2	0.99	-0.0196
MS4A3	0.99	-0.0537
MS4A4A	0.99	-0.0192
MS4A5	0.99	-0.0188
MS4A6A	0.99	-0.0457
MS4A6E	0.99	-0.0139
MS4A7	0.99	-0.0117
MS4A8	0.99	-0.0201
MSANTD1	0.99	-0.00813
MSANTD2	0.973	-0.0317
MSANTD3	0.977	-0.00833
MSANTD3-TMEFF1	0.99	0.00168
MSANTD4	0.99	0.00147
MSC	0.00707	0.0792
MSC-AS1	0.678	0.0105
MSGN1	0.99	-0.0177
MSH2	0.32	-0.0432
MSH3	0.99	0.0018
MSH4	0.99	-0.00839
MSH5-SAPCD1	0.555	-0.00563
MSH6	0.938	-0.00686
MSI1	0.686	0.0382
MSI2	3.99E-05	-0.106
MSL1	0.93	-0.00736
MSL2	0.25	-0.0272
MSL3P1	0.99	0.0139
MSLN	0.725	0.0955
MSMO1	0.654	0.00891
MSMP	0.99	-0.0233
MSR1	0.99	-0.0253
MSRA	0.912	-0.0107
MSRB1	0.489	-0.0488
MSRB2	0.651	-0.0235
MSRB3	0.396	-0.129
MSS51	0.99	-0.0108
MST1	0.195	0.0226
MST1P2	0.921	0.0116
MST1R	0.613	-0.0181
MSTN	0.99	0.0121
MSTO1	0.865	-0.00551
MSX1	0.708	-0.0504
MSX2	0.847	0.0504
MSX2P1	0.99	-0.0365
MT1A	0.021	-0.0677
MT1B	0.99	-0.0175
MT1DP	0.476	-0.0521
MT1F	0.725	-0.0154
MT1G	0.136	-0.0691
MT1H	0.99	0.00594
MT1HL1	0.667	-0.049
MT1IP	0.519	-0.0107
MT1X	0.433	-0.0122
MT3	0.947	-0.00296
MT4	0.181	0.0485
MTA1	0.917	-0.0526
MTA2	0.99	-0.00111
MTA3	0.99	-0.00424
MTAP	0.823	-0.0113
MTBP	0.366	0.00986
MTCH1	0.99	-0.0242
MTCH2	0.946	-0.0093
MTCL1	0.99	-0.0252
MTDH	0.727	-0.00769
MTERF1	0.167	-0.0694
MTERF2	0.0618	-0.0885
MTERF3	0.99	-0.00766
MTERF4	0.38	-0.0086
MTF1	0.99	-0.00452
MTF2	0.21	-0.00588
MTFMT	0.99	0.00944
MTFP1	0.99	0.0171
MTFR1	0.752	-0.00684
MTFR1L	0.99	0.0059
MTFR2	0.142	-0.0535
MTG1	0.806	-0.0046
MTG2	0.963	-0.00421
MTHFD1	0.943	0.0517
MTHFD1L	0.99	-0.001
MTHFD2	0.99	0.00384
MTHFD2L	0.92	0.0345
MTHFD2P1	0.99	-0.0225
MTHFR	0.99	-0.00559
MTHFSD	0.634	-0.016
MTIF2	0.122	-0.0615
MTIF3	0.165	-0.0331
MTMR10	0.336	-0.0226
MTMR11	0.99	0.0431
MTMR12	0.99	-0.0024
MTMR14	0.0751	-0.0122
MTMR2	0.99	0.00365
MTMR3	0.419	-0.0143
MTMR4	0.939	-0.00497
MTMR6	0.99	-0.00381
MTMR7	0.463	-0.00852
MTMR9	0.172	-0.0642
MTMR9LP	0.00114	0.0714
MTNR1A	0.0558	-0.058
MTNR1B	0.0872	0.0516
MTO1	0.771	-0.00499
MTOR	0.672	0.00708
MTPAP	0.99	-0.00323
MTR	0.736	-0.00437
MTRF1	0.788	-0.00812
MTRF1L	0.99	0.00425
MTRNR2L1	0.124	-0.0933
MTRNR2L4	0.99	0.00462
MTRNR2L6	0.99	-0.0151
MTRNR2L7	0.045	-0.115
MTRNR2L8	0.99	0.00749
MTRR	0.842	-0.014
MTSS1	0.0122	0.0709
MTSS1L	0.211	0.0268
MTTP	0.99	-0.00791
MTURN	0.413	-0.0818
MTUS1	0.304	-0.0604
MTUS2	0.785	0.0542
MTVR2	0.99	0.00404
MTX1	0.99	0.00191
MTX2	0.99	-0.005
MTX3	0.99	0.0296
MUC1	0.035	-0.0652
MUC12	0.318	-0.0339
MUC13	0.99	-0.0347
MUC16	0.99	-0.00718
MUC17	0.99	-0.00767
MUC2	0.11	-0.0474
MUC20	0.99	-0.0105
MUC21	0.654	-0.0426
MUC22	0.99	0.0352
MUC4	0.103	-0.0638
MUC5B	0.784	-0.0353
MUC6	0.826	0.0308
MUC7	0.99	-0.00842
MUCL1	0.99	-0.0128
MUL1	0.99	-0.0223
MUM1	0.99	-0.00437
MURC	0.52	-0.0664
MUS81	0.99	-0.00412
MUSK	0.99	-0.0107
MUSTN1	0.809	-0.0602
MUT	0.61	-0.0646
MUTYH	0.99	-0.0011
MVB12A	0.181	-0.0185
MVB12B	0.315	-0.0534
MVD	0.99	0.00182
MVK	0.315	-0.0715
MX1	0.604	-0.0268
MX2	0.205	-0.0123
MXD1	0.783	0.0239
MXD3	0.134	-0.0788
MXD4	0.858	-0.00861
MXI1	0.045	0.116
MXRA7	0.817	-0.00843
MXRA8	0.578	-0.0249
MYADM	0.832	-0.00592
MYADML	0.106	-0.0914
MYADML2	0.99	-0.00492
MYB	0.509	-0.00863
MYBBP1A	0.902	0.0104
MYBL1	0.447	-0.0908
MYBL2	0.0442	-0.0368
MYBPC1	0.232	0.104
MYBPC2	0.645	-0.0129
MYBPC3	0.99	-0.0136
MYBPH	0.99	-0.00957
MYBPHL	0.99	-0.00524
MYC	0.925	0.00889
MYCBP2	0.691	-0.00623
MYCBPAP	0.444	-0.00871
MYCL	0.00252	0.0909
MYCN	0.69	0.0436
MYCNOS	0.988	-0.00429
MYCT1	0.937	-0.0912
MYD88	0.097	-0.0355
MYDGF	0.553	-0.00502
MYEF2	0.319	0.0361
MYEOV	0.753	-0.00858
MYF5	0.42	-0.0521
MYF6	0.73	-0.0564
MYH1	0.99	-0.0164
MYH10	0.639	-0.00713
MYH11	0.99	-0.00238
MYH13	0.99	-0.00872
MYH14	0.518	-0.0146
MYH15	0.99	-0.00835
MYH16	0.99	-0.0136
MYH2	0.773	-0.0283
MYH3	0.99	-0.00449
MYH4	0.99	-0.0129
MYH6	0.495	0.033
MYH7	0.99	-0.00976
MYH7B	0.969	0.022
MYH8	0.99	0.0154
MYH9	0.565	-0.0066
MYL1	0.99	0.00572
MYL10	0.99	-0.00262
MYL12A	0.483	0.0114
MYL12B	0.0908	-0.0626
MYL2	0.914	-0.0342
MYL3	0.99	-0.0224
MYL4	0.431	0.00782
MYL5	0.483	-0.0121
MYL6	0.99	-0.000997
MYL6B	0.783	-0.033
MYL7	0.99	-0.0168
MYL9	0.99	-0.0151
MYLIP	0.922	-0.00603
MYLK	0.00836	0.114
MYLK-AS1	0.99	-0.00977
MYLK2	0.99	-0.0316
MYLK3	0.99	-0.01
MYLK4	0.592	-0.0111
MYLPF	0.99	-0.0124
MYNN	0.99	0.00371
MYO10	0.745	-0.0331
MYO15A	0.981	0.0164
MYO15B	0.582	-0.0067
MYO16	0.0505	-0.0418
MYO18A	0.982	0.00875
MYO18B	0.99	-0.0211
MYO19	0.99	0.00113
MYO1A	0.99	-0.0216
MYO1B	0.99	-0.0158
MYO1C	0.135	0.0315
MYO1D	0.901	-0.0185
MYO1E	0.882	-0.0107
MYO1F	0.99	-0.0196
MYO1G	0.99	-0.0447
MYO1H	0.99	-0.0203
MYO3A	0.0406	0.0395
MYO3B	0.99	-0.00688
MYO5A	0.99	-0.00285
MYO5B	0.427	0.0351
MYO5C	0.0236	-0.089
MYO6	0.317	-0.0182
MYO7A	0.343	0.0305
MYO7B	0.99	-0.0168
MYO9A	0.99	-0.0105
MYO9B	0.99	-0.0102
MYOC	0.99	-0.0251
MYOCD	0.582	-0.0316
MYOD1	0.399	-0.0052
MYOF	0.978	-0.0156
MYOG	0.987	0.0678
MYOM1	0.99	-0.0418
MYOM2	0.000333	-0.0866
MYOM3	0.0852	0.0484
MYOT	0.288	-0.0133
MYOZ1	0.99	-0.00754
MYOZ2	0.99	-0.00593
MYOZ3	0.99	-0.00673
MYPN	0.743	-0.0187
MYPOP	0.136	0.0714
MYRF	0.000803	-0.0634
MYRIP	0.923	0.01
MYSM1	0.99	-0.00365
MYT1	0.99	-0.00838
MYT1L	0.113	0.0172
MYZAP	0.602	-0.0509
MZB1	0.0945	-0.0528
MZF1-AS1	0.00113	-0.063
MZT1	0.99	-0.00797
MZT2A	0.875	0.0165
MZT2B	0.99	0.00987
N4BP1	0.57	-0.0565
N4BP2	0.727	-0.0414
N4BP2L1	0.0822	0.0536
N4BP2L2	0.824	-0.0666
N4BP3	0.0101	-0.12
N6AMT1	0.988	-0.0106
NA	0.00936	-0.162
NAA11	0.99	-0.00367
NAA15	0.99	0.0116
NAA16	0.308	-0.069
NAA20	0.99	-0.00899
NAA25	0.99	-0.00122
NAA30	0.392	-0.00751
NAA35	0.99	0.000917
NAA38	0.99	-0.00371
NAA40	0.658	-0.0116
NAA50	0.99	-0.0128
NAA60	0.585	-0.0339
NAAA	0.77	-0.00455
NAALAD2	0.87	-0.00927
NAALADL1	0.99	-0.0545
NAALADL2	0.78	-0.0511
NAB1	0.774	-0.0571
NAB2	0.882	-0.00456
NABP1	0.609	-0.00792
NABP2	0.99	-0.0313
NACA	0.99	0.00061
NACA2	0.99	0.0112
NACAD	0.919	-0.0112
NACAP1	0.934	0.039
NACC1	0.891	-0.0148
NACC2	0.888	-0.00685
NADK	0.703	-0.0158
NADK2	0.99	0.002
NADSYN1	0.888	-0.00353
NAE1	0.99	0.000932
NAF1	0.902	-0.0427
NAGA	0.99	-0.00555
NAGK	0.99	-0.00143
NAGLU	0.99	-0.012
NAGPA	0.99	-0.0216
NAGS	0.99	0.00311
NAIF1	0.99	-0.00512
NAIP	0.99	0.0172
NALCN	0.4	-0.0201
NALCN-AS1	0.99	-0.023
NAMA	0.99	0.0052
NAMPT	0.351	-0.0124
NANOG	0.99	-0.0267
NANOGNB	0.99	0.021
NANOS1	0.0189	-0.13
NANOS2	0.874	-0.0133
NANOS3	0.954	-0.0438
NANP	0.99	-0.015
NANS	0.198	0.105
NAP1L1	0.99	0.016
NAP1L4	0.649	-0.0387
NAPA	0.99	-0.00204
NAPA-AS1	0.691	-0.0794
NAPB	0.0483	-0.024
NAPEPLD	0.99	-0.00149
NAPG	0.99	0.00444
NAPRT	0.99	-0.00942
NARF	0.752	-0.0375
NARFL	0.325	-0.118
NARS	0.99	-0.00145
NARS2	0.828	0.0143
NASP	0.402	-0.0106
NAT1	0.407	-0.00873
NAT10	0.144	0.023
NAT14	0.694	-0.00705
NAT16	0.209	0.026
NAT2	0.98	0.0373
NAT6	0.99	-0.00652
NAT8	0.99	-0.0255
NAT8L	0.99	0.000739
NAT9	0.99	-0.0048
NATD1	0.965	-0.0163
NAV1	0.0525	0.0843
NAV2	0.00368	-0.0431
NAV3	0.956	0.0406
NAXD	0.0014	0.0747
NAXE	0.99	-0.00206
NBAS	0.99	-0.0549
NBEA	0.017	0.072
NBEAL1	0.854	0.0104
NBEAL2	0.501	-0.0086
NBEAP1	0.99	-0.00917
NBN	0.99	-0.00194
NBPF1	0.99	0.00393
NBPF13P	0.00716	0.252
NBPF14	0.99	-0.0233
NBPF15	0.354	0.0241
NBPF20	0.0143	0.0571
NBPF22P	0.99	-0.0189
NBPF3	0.99	-0.00581
NBPF4	0.992	-0.00342
NBPF7	0.99	-0.0136
NBPF8	1.66E-07	0.214
NBR1	0.99	0.0163
NCALD	0.929	-0.0104
NCAM1	0.277	-0.0961
NCAM2	0.118	0.0733
NCAN	0.368	-0.0497
NCAPD2	0.99	-0.0334
NCAPD3	0.865	-0.0073
NCAPG	0.803	-0.00493
NCAPG2	0.629	-0.0336
NCAPH	0.0977	-0.112
NCAPH2	0.881	-0.00495
NCBP1	0.99	-0.00294
NCBP2	0.99	-0.00438
NCBP2-AS2	0.99	-0.000542
NCBP3	0.99	-0.00306
NCCRP1	0.833	-0.0442
NCDN	0.99	-0.00446
NCEH1	0.116	0.0521
NCF1	0.99	-0.015
NCF1C	0.99	-0.0244
NCF2	0.213	0.0253
NCF4	0.99	-0.00577
NCK1	0.973	-0.00364
NCK2	0.461	-0.0191
NCKAP1	0.236	-0.03
NCKAP1L	1.86E-05	-0.0508
NCKAP5	0.441	0.0662
NCKAP5L	0.157	0.135
NCKIPSD	0.99	-0.000994
NCL	0.532	-0.0448
NCLN	0.99	0.00111
NCMAP	0.99	0.067
NCOA1	0.316	0.1
NCOA2	0.755	-0.00703
NCOA3	0.749	-0.00553
NCOA5	0.99	0.0121
NCOA6	0.99	-0.0127
NCOA7	0.82	-0.011
NCOR1	0.99	-0.00422
NCOR2	8.62E-08	-0.296
NCR1	0.585	0.0953
NCR2	0.0378	0.0639
NCR3	0.99	-0.0174
NCR3LG1	0.982	0.00804
NCRUPAR	0.99	-0.00273
NCS1	0.99	0.0088
NCSTN	0.99	0.00677
NDC1	0.231	-0.11
NDC80	0.733	0.0689
NDE1	0.99	-0.00506
NDEL1	0.299	-0.0592
NDFIP1	0.138	0.0219
NDFIP2	0.99	0.0555
NDFIP2-AS1	0.99	-0.00629
NDN	0.957	-0.0535
NDNF	0.906	0.00766
NDOR1	0.99	-0.028
NDRG1	0.679	0.012
NDRG2	0.99	-0.0817
NDRG3	0.99	-0.00163
NDRG4	0.829	0.00776
NDST1	0.99	-0.00855
NDST2	0.442	-0.00584
NDST3	0.335	0.0355
NDST4	0.854	-0.0364
NDUFA10	0.99	-0.00323
NDUFA11	0.99	-0.00226
NDUFA12	0.0771	-0.0532
NDUFA2	0.99	-0.000748
NDUFA3	0.885	-0.00515
NDUFA4	0.99	-0.0274
NDUFA4L2	0.0183	-0.104
NDUFA5	0.82	-0.0197
NDUFA6	0.99	-0.0248
NDUFA6-AS1	0.405	-0.036
NDUFA7	0.99	0.0032
NDUFA8	0.99	-0.00141
NDUFA9	0.99	-0.00201
NDUFAB1	0.99	-0.0119
NDUFAF1	0.99	-0.00431
NDUFAF2	0.828	0.0197
NDUFAF3	0.99	-0.00199
NDUFAF4	0.99	0.0205
NDUFAF5	0.99	-0.0376
NDUFAF6	0.99	-0.00843
NDUFAF7	0.701	0.0109
NDUFAF8	0.99	0.00301
NDUFB1	0.671	-0.0205
NDUFB10	0.99	-0.0143
NDUFB2	0.99	-0.00347
NDUFB2-AS1	0.99	-0.00376
NDUFB3	0.692	-0.00802
NDUFB4	0.99	-0.00157
NDUFB5	0.99	0.023
NDUFB6	0.99	-0.00356
NDUFB7	0.769	-0.00791
NDUFB9	0.99	-0.0097
NDUFC1	0.235	-0.0451
NDUFC2-KCTD14	0.837	-0.00773
NDUFS1	0.99	-0.0462
NDUFS2	0.42	0.0125
NDUFS3	0.733	-0.00546
NDUFS4	0.764	-0.00659
NDUFS5	0.57	-0.0162
NDUFS6	0.302	-0.0523
NDUFS7	0.667	-0.00718
NDUFS8	0.622	-0.00743
NDUFV1	0.99	-0.00731
NDUFV2	0.99	0.00368
NDUFV3	0.99	-0.0043
NEAT1	0.112	-0.0452
NEB	0.963	-0.0784
NEBL	0.99	-0.00406
NEBL-AS1	0.99	-0.0137
NECAB1	0.99	-0.0281
NECAB2	0.643	-0.0194
NECAB3	0.0445	0.0755
NECAP1	0.753	-0.00536
NECAP2	0.99	0.00153
NECTIN1	0.406	-0.00952
NECTIN2	0.99	-0.01
NECTIN3	0.99	-0.0239
NECTIN4	0.99	-0.0351
NEDD1	0.00107	-0.0717
NEDD4	0.99	-0.00777
NEDD4L	0.701	-0.00782
NEDD8-MDP1	0.99	-0.0159
NEDD9	0.909	0.0613
