Gene	Chim2012.logFC	Chim2012.padj
NAV3	0.10343885	0.5950244
NAXD	0.29248524	0.2731934
NAXE	0.07340307	0.8008721
NBAS	-0.48546887	0.0316386
NBAT1	0.21826496	0.4872283
NBEA	-0.11460772	0.5764046
NBEAL1	-0.88818407	0.0127066
NBEAL2	0.23430075	0.3731629
NBEAP1	0.11157942	0.6292073
NBL1	0.2354388	0.3034548
NBN	-0.95705309	0.0001391
NBPF1	-0.0332798	0.9292088
NBPF20	-0.17566271	0.7005006
NBPF3	0.4468482	0.130652
NBPF4	-0.26679453	0.1381426
NBPF8	-0.28061061	0.1067557
NBR1	-0.47146511	0.0098949
NBR2	0.30731663	0.0937357
NCALD	-0.09275169	0.6315667
NCAM1	0.25050845	0.1464146
NCAM2	0.10397635	0.4112606
NCAN	-0.09179177	0.7108722
NCAPD2	-0.00774327	0.9813962
NCAPD3	-0.03871308	0.9258682
NCAPG	0.29850588	0.45106
NCAPG2	-0.03200431	0.8938571
NCAPH	0.02137108	0.9715885
NCAPH2	0.17525063	0.3067629
NCBP1	-0.36986113	0.1638479
NCBP2	-0.74472715	0.0092686
NCBP2-AS2	0.31975327	0.1575765
NCBP3	-0.19547854	0.4441726
NCDN	0.19405408	0.4430927
NCEH1	0.15014725	0.7349223
NCF1	0.14633951	0.5602712
NCF2	-0.06663141	0.8874037
NCF4	0.36980753	0.1129913
NCK1	-0.60394659	0.0487467
NCK1-AS1	-0.1897007	0.4708883
NCK2	0.24720449	0.4296899
NCKAP1	-0.93995094	0.0339976
NCKAP1L	-1.13963805	0.0014761
NCKAP5	0.06536722	0.7666449
NCKAP5L	-0.20393057	0.3793834
NCKIPSD	0.26634044	0.2725235
NCL	0.11183491	0.5396746
NCLN	0.2158269	0.372412
NCOA1	-0.45040923	0.1108302
NCOA2	-1.43854605	0.0086295
NCOA3	-1.61170415	0.0000402
NCOA4	0.06330757	0.6645109
NCOA5	-0.46083527	0.0079968
NCOA6	0.17213287	0.5086821
NCOA7	-0.18862028	0.4674093
NCOR1	-0.33097496	0.0774571
NCOR2	0.18099509	0.408988
NCR1	0.25894265	0.2846959
NCR2	-0.09864465	0.52584
NCR3	-0.05240507	0.8514829
NCR3LG1	-0.01996141	0.9550026
NCS1	-0.16022148	0.3605439
NCSTN	0.05918493	0.7125326
ND2	0.00197067	0.9953125
ND4	-0.07044601	0.7391742
ND6	-0.21280747	0.3854087
NDC1	0.30785665	0.3248144
NDC80	0.27174073	0.7005389
NDE1	-0.13133755	0.4352182
NDEL1	0.08556142	0.5770502
NDFIP1	0.33452644	0.1481628
NDFIP2	-0.43041649	0.1823768
NDN	-0.05606041	0.9213152
NDNF	0.27188053	0.5037667
NDOR1	0.10198541	0.7099699
NDP	0.05756235	0.97765
NDRG1	0.22370547	0.585631
NDRG2	-0.8837492	0.0824752
NDRG3	0.49889717	0.122799
NDRG4	0.46895046	0.0476223
NDST1	-0.24466703	0.2146118
NDST2	0.11526232	0.4399287
NDST3	0.01793017	0.9410442
NDST4	-0.17836575	0.2579149
NDUFA1	-0.01165962	0.9751955
NDUFA10	0.21629691	0.1845944
NDUFA11	-0.33496637	0.5231909
NDUFA12	0.02753601	0.9111804
NDUFA13	0.03137207	0.9308783
NDUFA2	-0.21241722	0.2625481
NDUFA3	0.19886217	0.6146376
NDUFA4	-0.15319404	0.6485852
NDUFA4L2	0.08949422	0.8615732
NDUFA5	0.82643766	0.0040265
NDUFA6	0.02229881	0.9450032
NDUFA7	-0.33373126	0.2343069
NDUFA8	0.26325302	0.3970623
NDUFA9	-0.05043097	0.8035235
NDUFAB1	0.3420805	0.0837262
NDUFAF1	0.09371796	0.7337431
NDUFAF2	-0.10286465	0.6076138
NDUFAF3	0.07348661	0.779618
Ndufaf4	0.25250244	0.0762601
NDUFAF5	0.34040546	0.0874835
NDUFAF7	0.6107791	0.0339737
NDUFB1	-0.66949405	0.0059715
NDUFB10	0.46053143	0.0141562
NDUFB11	-0.03585289	0.9325939
NDUFB2	-0.39612989	0.0344352
NDUFB2-AS1	0.47967023	0.0568993
NDUFB3	0.32047786	0.1440498
NDUFB4	-0.14834585	0.4000378
NDUFB5	0.23274784	0.176756
NDUFB6	0.09682026	0.54353
NDUFB7	0.23717637	0.155261
NDUFB8	0.51819086	0.0018323
NDUFB9	0.23238926	0.2651257
NDUFC1	0.05214567	0.7902086
NDUFS1	-0.87355379	0.000329
NDUFS2	-0.11004467	0.664979
NDUFS3	-0.03742151	0.8996184
NDUFS4	0.24352798	0.3734965
NDUFS6	0.43100271	0.04992
NDUFS7	0.21300477	0.4492046
NDUFV1	0.28977127	0.1021531
NDUFV2	0.013346	0.9602624
NDUFV2-AS1	0.08270245	0.6880774
NDUFV3	0.23018475	0.5452225
NEB	0.92060375	0.0865555
NEBL	0.28644313	0.1272037
NEBL-AS1	0.14328618	0.5595611
NECAB1	0.08001666	0.7005523
NECAB2	0.03313169	0.9064032
NECAB3	0.21766138	0.1594747
NECAP1	0.32620354	0.3273123
NECAP2	0.16266585	0.5088468
NECTIN1	0.50768657	0.0943783
NECTIN2	0.38360004	0.2935259
NECTIN3	0.14820805	0.5204335
NECTIN4	-0.06781712	0.9170636
NEDD1	0.35191975	0.2486784
NEDD4	-0.13157196	0.8014715
NEDD4L	-1.16618645	0.0126259
NEDD8	-0.03293095	0.9108305
NEDD9	0.58972731	0.0516186
NEFH	-0.04396367	0.903175
NEFL	-0.26942611	0.1480817
NEFM	-0.03944316	0.8500208
NEGR1	0.06066365	0.7922295
NEGR1-IT1	-0.1170011	0.5339377
NEIL2	-0.10918636	0.6429541
NEIL3	-0.18277197	0.4267627
NEK1	-0.8953095	0.0001982
NEK10	-0.16535449	0.6199993
NEK11	-0.12958141	0.760033
NEK2	-0.32210808	0.1075173
NEK3	-0.5859241	0.0210859
NEK4	0.12227945	0.5724938
NEK5	-0.08489199	0.6794683
NEK6	0.15430498	0.4580584
NEK7	0.16671047	0.5023795
NEK8	0.47117081	0.1183813
NEK9	-0.74828358	0.0031227
NELFB	0.18624515	0.2349135
NELFCD	0.22331276	0.3493474
NELL1	-0.22698707	0.1383335
NELL2	0.08448357	0.6154922
NEMF	-0.67865653	0.0257282
NEMP1	0.6306694	0.0071191
NEMP2	-0.09758749	0.6532327
NENF	0.11524639	0.5154975
NEO1	0.49739303	0.1200904
NEPRO	-0.30279241	0.0931015
NES	-0.09083224	0.7279688
NET1	0.14832096	0.446728
NETO1	-0.08705931	0.6793724
NETO2	-0.12331848	0.6274026
NEU1	-0.49048356	0.036963
NEU2	0.08602433	0.6473168
NEU3	-0.22982573	0.3989154
NEU4	0.22766228	0.2768275
NEURL1	0.48278456	0.0097464
NEURL1B	-0.50820542	0.2848928
NEURL2	0.25722938	0.2648715
NEURL3	0.06611719	0.7309708
NEURL4	-0.260182	0.2001558
NEUROD1	-0.11777015	0.4984993
NEUROD2	-0.21966695	0.308473
NEUROD4	-0.03169417	0.9368259
NEUROD6	0.01407008	0.9463647
NEUROG1	0.03030243	0.8870849
NEUROG2	-0.00770631	0.9794322
NEUROG3	0.05552778	0.7153748
NEXN	-0.1495244	0.8526908
NEXN-AS1	-0.05579757	0.7772524
NF1	-0.1767076	0.2141581
NF2	0.25986309	0.1744108
NFAM1	-0.17062969	0.6215416
NFASC	-0.69396625	0.0079483
NFAT5	-3.30587198	0.0000155
NFATC1	0.25987987	0.1116577
NFATC2	1.12316122	0.0048773
NFATC2IP	1.06537456	0.0012766
NFATC3	0.98349656	0.0005664
NFATC4	-0.19228807	0.3721229
NFE2	0.16214547	0.7085724
NFE2L1	-0.28924208	0.265051
NFE2L2	-1.04276208	0.0142606
NFE2L3	-0.17169027	0.6588574
NFE4	0.0346385	0.9119113
NFIA	1.1177331	0.0060019
NFIA-AS2	0.21782503	0.1802129
NFIB	1.29642698	0.0017054
NFIC	0.63021069	0.0151909
NFIL3	0.06213837	0.9080552
NFIX	0.28528104	0.0689179
NFKB1	0.11071281	0.5849198
NFKB2	0.06230955	0.646258
NFKBIA	0.64215565	0.0434512
NFKBIB	0.37112332	0.1172485
NFKBID	0.09925542	0.5793923
NFKBIE	0.25002131	0.4782558
NFKBIL1	-0.04506168	0.8688599
NFKBIZ	-1.97472877	0.0000407
NFRKB	0.44643278	0.0445977
NFS1	-0.26387272	0.3562795
NFU1	0.61020984	0.0265201
NFX1	0.27662845	0.1583641
NFXL1	0.1738349	0.5118873
NFYA	-0.84596191	0.0061286
NFYB	-0.71419286	0.1195878
NFYC	-0.73862189	0.0063313
NFYC-AS1	-0.10361147	0.6841345
NGB	0.10572691	0.5594244
NGDN	0.55900942	0.0942517
NGEF	-0.26390424	0.1770937
NGF	-0.1339547	0.438855
NGFR	-0.23763284	0.6542556
NGLY1	0.99009571	0.0357519
NGRN	0.58883954	0.0244015
NHEG1	-0.06483884	0.6647791
NHLH1	-0.08792243	0.7834098
NHLH2	0.18653851	0.3344607
NHLRC2	0.53888455	0.0532348
NHLRC3	-0.71573477	0.0057348
NHLRC4	0.1308918	0.6886978
NHP2	0.09464378	0.7018571
NHS	0.31295271	0.2820531
NHSL1	-0.45082349	0.0205058
NHSL2	0.07655005	0.6620731
NICN1	-0.1433238	0.48594
NID1	-1.56217717	0.000089
NID2	-0.2353901	0.7084751
NIF3L1	0.27172441	0.2215069
NIFK	-0.5885705	0.1014328
NIFK-AS1	-0.17102614	0.538426
NIM1K	-0.10281916	0.7482106
NIN	-0.85265656	0.1114028
NINJ1	0.37616463	0.0599293
NINJ2	0.14186702	0.5879544
NINL	0.15486774	0.6494733
NIP7	0.45434208	0.0092776
NIPA1	0.32582635	0.5353515
NIPA2	0.47056408	0.0578624
NIPAL2	-0.31041679	0.1974343
NIPAL3	-0.39572258	0.0703069
NIPAL4	-0.22264195	0.2132461
NIPBL	-0.93027965	0.0037883
NIPSNAP1	-0.32849188	0.2042323
NIPSNAP3A	0.09644967	0.8688774
NIPSNAP3B	-0.1890873	0.5992793
NISCH	-0.15237789	0.4287846
NIT1	0.12641077	0.4417032
NIT2	0.04458227	0.9145648
NKAIN1	-0.34265833	0.1007486
NKAIN2	-0.17247476	0.5034095
NKAIN3	0.04220142	0.8457639
NKAIN4	0.24817076	0.2546652
NKAP	0.24061346	0.1450218
NKAPL	-0.07175207	0.7199242
NKAPP1	-0.05775898	0.7690883
NKD1	0.24914002	0.218572
NKD2	0.23671088	0.4502759
NKG7	0.12696786	0.8206836
NKIRAS1	-0.07877293	0.7119601
NKIRAS2	0.37220774	0.0493982
NKPD1	0.17314792	0.4821962
NKRF	-0.06658595	0.8231453
NKTR	-1.58708821	0.0000884
NKX1-1	-0.30420465	0.0688848
NKX2-1	-0.17379408	0.2439316
NKX2-1-AS1	-0.00405727	0.9911291
NKX2-2	-0.02229867	0.9328753
NKX2-3	-0.00961304	0.969938
NKX2-5	-0.05207252	0.8205177
NKX2-8	-0.12857108	0.5556429
NKX3-1	-0.2259173	0.3390981
NKX3-2	0.04083271	0.8813556
NKX6-1	-0.09229989	0.8063363
NKX6-2	-0.12789144	0.5646997
NKX6-3	0.04444389	0.8579688
NLE1	0.11688451	0.5383112
NLGN1	0.17936907	0.3839369
NLGN2	0.25830221	0.5223744
NLGN3	-0.13820372	0.6110761
NLGN4X	-0.12292733	0.7217996
NLGN4Y	0.13426185	0.5393301
NLK	-0.31998286	0.0750933
NLN	1.24212304	0.0007607
NLRC3	0.30738345	0.2600281
NLRC4	0.05703192	0.8626307
NLRC5	0.17420607	0.3848166
NLRP1	0.33368845	0.2366138
NLRP10	-0.0895576	0.729612
NLRP11	-0.04309072	0.8590466
NLRP12	0.12967472	0.491526
NLRP13	0.10242867	0.6429541
NLRP14	-0.12638469	0.4925794
NLRP2	0.51610049	0.4145504
NLRP2B	0.11287923	0.7011269
NLRP3	-0.13248348	0.3617033
NLRP4	-0.12621043	0.3356503
NLRP5	0.05199313	0.7902172
NLRP6	-0.00696969	0.9811748
NLRP7	-0.10367054	0.6687244
NLRP8	-0.11097322	0.6835711
NLRP9	-0.09451966	0.5414977
NLRX1	0.33648711	0.1207308
NMB	-0.07502785	0.8016849
NMBR	-0.15850019	0.374654
NMD3	-0.66624708	0.0496377
NME1	-0.09228744	0.8480487
NME3	0.10316048	0.6870047
NME4	-0.24357586	0.5615119
NME5	-0.04583158	0.8655133
NME6	0.74938956	0.0126159
NME7	-1.44861984	0.0242928
NME8	0.07736192	0.8412725
NME9	-0.16746092	0.3768007
NMI	-0.29262829	0.5388523
NMNAT1	0.50325284	0.055898
NMNAT2	0.80813289	0.054227
NMNAT3	-0.24907588	0.2913914
NMRAL1	-0.54224434	0.2387563
NMRAL1P1	-0.08443823	0.6914936
NMRK1	0.4039288	0.0312521
NMRK2	0.01580772	0.9561646
NMT1	-0.51595011	0.0115576
NMT2	-0.12139897	0.5662703
NMU	0.78386339	0.1703594
NMUR1	0.37289328	0.0152792
NMUR2	-0.03879762	0.8497596
NNAT	-0.26395005	0.6918662
NNMT	-0.31104293	0.3746664
NNT	-0.53769526	0.0159245
NNT-AS1	0.05713249	0.9344329
NOA1	0.05946817	0.7773708
NOB1	-0.00986071	0.983216
NOBOX	-0.12664686	0.6480709
NOC2L	0.18834	0.3046459
NOC3L	0.32923879	0.2867055
NOC4L	0.26639023	0.3288969
NOCT	-0.26277981	0.3201174
NOD1	-0.29688663	0.3848166
NOD2	-0.12924194	0.5169229
NODAL	0.31009259	0.3034626
NOG	-0.35571146	0.8329791
NOL10	-0.03047785	0.9067538
NOL11	0.23094301	0.2986242
NOL12	0.26457934	0.1133854
NOL3	-0.23762531	0.1619221
NOL4	-0.07503333	0.754014
NOL4L	-0.19748154	0.2281267
NOL6	-0.35198794	0.036788
NOL7	0.20389519	0.3343897
NOL8	0.27844391	0.196522
NOL9	-0.30194311	0.2857098
NOLC1	-0.64327173	0.0343086
NOM1	-0.57471113	0.0403501
NOMO3	0.32427597	0.1619221
NONO	-0.88753118	0.0007636
NOP10	-0.15141354	0.505276
NOP14	0.39567853	0.2428955
NOP14-AS1	0.21173273	0.3202479
NOP16	-0.27938776	0.3544936
NOP2	-0.31167068	0.1177704
NOP58	-0.00128212	0.9967765
NOP9	-0.21195306	0.4214888
NORAD	-1.25645333	0.0054881
NOS1	-0.30352082	0.1274036
NOS1AP	0.43937502	0.2625481
NOS2	-0.14516206	0.3777817
NOS3	-0.12000513	0.6178243
NOSIP	0.13140688	0.7204279
NOSTRIN	0.00927886	0.990447
NOTCH1	0.71941846	0.065228
NOTCH2	-1.32627582	0.0002803
NOTCH2NL	1.23725052	0.0001458
NOTCH3	0.6520216	0.0895007
NOTCH4	0.26460638	0.5053259
NOTUM	-0.18966028	0.87491
NOV	-0.22303529	0.4657205
NOVA1	0.06503196	0.7177158
NOVA2	-0.10071706	0.6830948
NOX1	-0.16296616	0.5231736
NOX3	0.01667557	0.9467944
NOX4	0.4186646	0.0703412
NOX5	0.18045188	0.4385707
NOXA1	0.04618807	0.8927276
NOXO1	0.03405538	0.9137919
NOXRED1	0.15705657	0.3620868
NPAP1	-0.28261471	0.1067475
NPAS1	0.23109794	0.3003095
NPAS2	0.27630701	0.3173177
NPAS3	0.17754217	0.5358194
NPAS4	-0.07904939	0.7349598
NPAT	-0.15654941	0.5321035
NPB	0.17157354	0.5227841
NPBWR1	-0.13046436	0.4202417
NPBWR2	0.06437793	0.7595774
NPC1	0.26192236	0.2392332
NPC1L1	-0.17374234	0.5007312
NPC2	-0.49314918	0.0977592
NPCDR1	-0.0826024	0.7089504
NPDC1	0.67601233	0.0629652
NPEPL1	0.7135755	0.0103658
NPEPPS	-0.63721819	0.0153998
NPFF	-0.14878955	0.4476691
NPFFR1	0.26304317	0.2300089
NPFFR2	-1.4932289	0.1190377
NPHP1	-0.15029063	0.3026066
NPHP3	1.39193468	0.0015427
NPHP3-AS1	-0.11453905	0.4786436
NPHP4	-0.19822311	0.3104459
NPHS1	-0.01953642	0.9556307
NPHS2	0.02458625	0.9506055
NPIPA1	-0.34850083	0.0543411
NPIPB15	-0.28043881	0.7686775
NPL	-0.36676341	0.4371892
NPLOC4	0.24909	0.479502
NPM1	-0.40213814	0.0718485
NPM2	-0.09613743	0.7046041
NPM3	-0.30858168	0.3556211
NPNT	-0.01444559	0.9631005
NPPA	0.00162773	0.9960159
NPPB	0.03757725	0.8785755
NPPC	-0.02500563	0.9305096
NPR1	0.43376779	0.0191264
NPR2	0.1346365	0.5573971
NPR3	0.90091218	0.0055458
NPRL2	-0.13724508	0.6071725
NPRL3	0.38899026	0.0135269
NPSA	-0.14665647	0.4491362
NPSR1-AS1	0.09798202	0.531364
NPTN	-0.01482964	0.9574865
NPTN-IT1	1.61366705	0.0010752
NPTX1	-0.02768288	0.9158858
NPTX2	0.00002451	0.9999068
NPTXR	0.16492596	0.5275788
NPVF	0.00920644	0.9647302
NPW	-0.08783507	0.7004508
NPY	-0.08927131	0.7392764
NPY1R	0.30049905	0.2024122
NPY2R	-0.19084697	0.2573883
NPY5R	0.2058556	0.5563365
NPY6R	-0.18880897	0.2923149
NQO1	0.27697696	0.1510295
NQO2	0.52563677	0.2588301
NR0B1	-0.08432259	0.8345997
NR0B2	-0.0713543	0.6771614
NR1D2	-1.53426629	0.0109207
NR1H2	-0.14537964	0.4926494
NR1H3	0.24814729	0.4612602
NR1H4	0.05847635	0.7614149
NR1I2	-0.07131982	0.7234042
NR1I3	0.05232582	0.7563878
NR2C1	0.22475672	0.413523
NR2C2	-0.37077846	0.1911788
NR2C2AP	-0.03080692	0.9078117
NR2E1	-0.2418026	0.139687
NR2E3	0.07742362	0.6675986
NR2F1	0.0484664	0.9270648
NR2F1-AS1	-0.17860985	0.3068735
NR2F2	0.32708789	0.4714197
NR2F2-AS1	-0.8655932	0.1393108
NR2F6	-0.28137941	0.3197245
NR3C1	-0.70492792	0.0068391
NR3C2	0.52046051	0.1780464
NR4A1	0.63949928	0.0696233
NR4A2	0.15154119	0.4810363
NR4A3	0.98689328	0.288302
NR5A1	-0.18440294	0.2746211
NR5A2	-0.26165676	0.2369397
NR6A1	-0.32845411	0.1846075
NRAP	0.09164262	0.5571983
NRARP	0.1662467	0.5921938
NRAS	-0.77223196	0.0257622
NRAV	0.40948805	0.0214004
NRBF2	-0.57819262	0.0897471
NRBP1	-0.27696619	0.1547554
NRCAM	0.25693903	0.5652526
NRDC	1.50383244	0.0005334
NRDE2	0.37536077	0.1503828
NREP	-0.75909257	0.0387059
NRF1	0.45143747	0.2141747
NRG1	-0.18680849	0.4117231
NRG1-IT1	-0.00685864	0.9819479
NRG2	0.2368989	0.2378401
NRG3	-0.02541528	0.8998172
NRG4	-0.02915325	0.9002049
NRGN	0.25450154	0.2115733
NRIP1	-0.55454598	0.458713
NRIP2	0.11451926	0.6060778
NRIP3	-0.18630366	0.2697442
NRK	-1.14088392	0.0110801
NRL	-0.16752577	0.4701665
NRM	-0.03476076	0.906954
NRN1	0.77013217	0.2286552
NRP1	-0.30163555	0.1727197
NRP2	-0.83316421	0.000439
NRROS	0.24163198	0.3442912
NRSN1	-0.23911914	0.2960646
NRSN2	0.31217149	0.2296334
NRSN2-AS1	-0.01601453	0.9574231
NRTN	-0.0414988	0.8110788
NRXN1	-0.1419497	0.3124088
NRXN2	-0.07337513	0.7134761
NRXN3	0.17229347	0.3513934
NSA2	-0.06771183	0.8284609
NSAP11	-0.05725875	0.6885304
NSD1	0.43338423	0.2450338
NSDHL	0.25149083	0.2740938
NSF	-0.21494293	0.3166738
NSFL1C	0.35550356	0.064077
NSG1	0.23026962	0.5491983
NSL1	-0.29275742	0.111234
NSMAF	-0.24856496	0.1588917
NSMCE1	0.15089007	0.7153512
NSMCE2	0.01176987	0.9684983
NSMCE3	0.15975618	0.5268889
NSMCE4A	0.42663908	0.1003498
NSMF	-0.01476335	0.9598933
NSRP1	0.40356379	0.0330036
NSUN2	0.08573008	0.7811257
NSUN3	-0.22688875	0.0959913
NSUN4	0.3614306	0.0620645
NSUN5	0.2032918	0.1641566
NSUN5P1	0.39282532	0.0518934
NSUN6	0.49864359	0.0217679
NSUN7	0.01273832	0.9539771
NT5C	0.26402044	0.1421775
NT5C1A	-0.02464533	0.9190231
NT5C2	-0.19036292	0.3409645
NT5C3A	-0.3791109	0.3340854
NT5C3B	0.0565897	0.8897408
NT5DC1	0.40328092	0.099894
NT5DC2	-0.14423633	0.4763946
NT5DC3	-0.29516726	0.3758451
NT5DC4	-0.24967537	0.2923014
NT5E	-1.02018726	0.0485405
NT5M	-0.00924559	0.9691854
NTAN1	0.20173826	0.509408
NTF3	0.09264126	0.7229291
NTHL1	0.36731658	0.2150347
NTM	-0.04328885	0.935999
NTMT1	0.15711231	0.5321594
NTN1	-0.18384638	0.3067388
NTN3	-0.03716874	0.8579688
NTN4	0.48977422	0.5215929
NTN5	-0.14175734	0.3974439
NTNG1	-0.14655261	0.457371
NTNG2	-0.06226931	0.8079143
NTPCR	0.47136573	0.1462806
NTRK1	0.0437088	0.8699726
NTRK2	-0.10633579	0.599279
NTRK3	-0.24712882	0.1204581
NTRK3-AS1	-0.0447093	0.8579688
NTS	-0.3442081	0.5377615
NTSR1	0.08344059	0.7510765
NTSR2	0.0574657	0.7644761
NUAK1	-0.79524888	0.3054679
NUB1	0.24184733	0.3159568
NUBP1	0.21924696	0.2281341
NUBP2	0.0090847	0.9655778
NUBPL	0.71258173	0.0145359
NUCB1	0.16458655	0.6224421
NUCB2	0.17458991	0.5752849
NUCKS1	-1.63752669	0.000047
NUDC	0.19847908	0.2545418
NUDCD1	-0.38759327	0.2028713
NUDCD2	0.3838356	0.0550914
NUDCD3	0.1201395	0.3960939
NUDT1	0.22562194	0.4702571
NUDT10	0.15767779	0.3967102
NUDT11	-0.2082675	0.4030163
NUDT12	0.24871368	0.1984899
NUDT13	0.04512357	0.8823762
NUDT14	0.35539303	0.078752
NUDT15	0.10319557	0.5718946
NUDT16	0.23055444	0.4287846
NUDT16L1	0.24356356	0.2953145
NUDT16P1	0.05650043	0.7710537
NUDT17	0.16350021	0.480512
NUDT18	0.44528279	0.0497849
NUDT19	0.6400755	0.3225394
NUDT2	0.16509075	0.5158243
NUDT21	-0.85278316	0.0162386
NUDT22	0.04263181	0.9115169
NUDT3	1.63353958	0.0000778
NUDT4	-0.36155721	0.1056981
NUDT5	0.24043579	0.5899459
NUDT6	0.12030296	0.5893121
NUDT7	-0.30629782	0.4472208
NUDT9	-0.11830626	0.6281247
NUDT9P1	-0.05068274	0.8435737
NUF2	0.0906859	0.8242844
NUFIP1	0.47253385	0.0230144
NUFIP2	-0.91290093	0.0102024
NUMA1	-1.34545908	0.0110821
NUMB	0.81001358	0.0044404
NUMBL	0.59348659	0.0311854
NUP107	0.44565048	0.007289
NUP133	0.15788346	0.462359
NUP153	0.7481123	0.0043381
NUP155	0.39017821	0.2561343
NUP160	0.50931043	0.0496048
NUP188	0.35820193	0.1107935
NUP205	0.1325428	0.5082814
NUP210	0.31951308	0.3375555
NUP210L	0.06514683	0.7540258
NUP210P1	0.05268526	0.8854742
NUP214	0.11586667	0.7287611
NUP35	0.13532419	0.6286993
NUP37	-0.0512949	0.8461463
NUP43	0.45766077	0.0565208
NUP50	-0.5199153	0.2240082
NUP50-AS1	-0.03121753	0.9505591
NUP54	0.39297505	0.0090852
NUP58	-1.07299203	0.0034972
NUP62	0.35156879	0.0525866
NUP62CL	-0.12360167	0.4732389
NUP85	-0.12276382	0.5404979
NUP88	-0.24353442	0.3447552
NUP93	-0.08661571	0.5821547
NUP98	-0.27282028	0.2004389
NUPL2	-0.00712175	0.9855134
NUPR1	-0.48942165	0.1552984
NUS1	-0.29443426	0.1832539
NUS1P3	-0.22827201	0.1956453
NUSAP1	-0.60984096	0.36143
NUTM1	-0.22326431	0.2969492
NUTM2A-AS1	-0.1978384	0.3565339
NUTM2B	-0.09252195	0.7160466
NUTM2B-AS1	-0.7769446	0.0098716
NVL	0.42621641	0.2707357
NWD2	-0.10987997	0.4824236
NXF1	0.0484396	0.8358394
NXF3	-0.20245352	0.2492435
NXF5	0.03310799	0.907856
NXN	-0.20587263	0.5708813
NXNL1	0.26715412	0.1522833
NXNL2	-0.08599734	0.6147406
NXPE1	-0.17254419	0.2259714
NXPE3	0.59810439	0.0310175
NXPE4	-0.14942985	0.5632063
NXPH1	-0.04284473	0.8638481
NXPH2	0.09683909	0.6143284
NXPH3	-0.1897377	0.416981
NXPH4	0.11431489	0.6238297
NXT1	0.07341795	0.6967496
NXT2	-0.72775841	0.2373963
NYAP1	0.06808019	0.7734081
NYAP2	-0.02987852	0.8636393
NYNRIN	0.02584734	0.9483392
NYX	-0.23834066	0.1197762
OAF	0.17312364	0.3944824
OARD1	0.30154705	0.3845597
OAS1	-0.433743	0.6027505
OAS2	-0.55288877	0.1987364
OAS3	-0.07724428	0.7067696
OASL	0.09346934	0.6019347
OAT	-0.3265625	0.4984993
OAZ1	-0.11813317	0.7142933
OAZ2	-0.69757051	0.0008921
OAZ3	0.19926481	0.4874351
OBFC1	0.30728149	0.4738082
OBP2A	-0.17615557	0.4637394
OBP2B	0.01037569	0.9741135
OBSCN	0.27237124	0.0844824
OBSL1	0.7200099	0.0132271
OCA2	-0.00219988	0.9973098
OCEL1	-0.12563572	0.7783626
OCIAD1	0.93892554	0.0001982
OCIAD2	0.07220231	0.8819154
OCLM	-0.10447054	0.5129942
OCLN	0.47632504	0.0233749
OCM2	-0.10447144	0.5046206
OCR1	-0.10965514	0.583554
OCRL	-0.2246192	0.4947455
ODAM	-0.00763182	0.9801479
ODC1	-0.41197844	0.2310385
ODF1	-0.13505984	0.6524408
ODF2	-0.1625978	0.5595729
ODF2L	0.19388576	0.4202355
ODF3	0.24820666	0.2571303
ODF3B	-0.41905002	0.1886966
ODF3L1	-0.02299714	0.9325733
ODF3L2	0.02909851	0.8927381
ODF4	0.007969	0.9724921
OFCC1	-0.21586079	0.2724258
OFD1	0.29516964	0.2810987
OGDH	-0.83635502	0.0180154
OGDHL	0.07529016	0.7954676
OGFOD1	0.75567055	0.0004216
OGFOD2	-0.30391078	0.1724399
OGFOD3	0.29315705	0.0827182
OGFR	-0.33129626	0.2435074
OGFRL1	-0.4484694	0.2668192
OGFRP1	-0.2342125	0.3370405
OGG1	0.28642516	0.1796248
OGN	-0.36627316	0.6326739
OGT	-1.19034719	0.0001967
OIP5	-0.19268704	0.6035406
OIP5-AS1	2.1114674	0.0000555
OIT3	-0.00041823	0.9988108
OLA1	0.21827163	0.5907495
OLAH	0.86360426	0.0406975
OLFM1	-0.20169459	0.2699537
OLFM2	-0.07373147	0.7739217
OLFM3	0.02731133	0.8775258
OLFM4	-0.03542375	0.8317417
OLFML1	0.22614117	0.1918503
OLFML2A	0.14181815	0.7283131
OLFML2B	0.09915171	0.8389347
OLFML3	0.5641856	0.467359
OLIG1	-0.03905549	0.858585
OLIG2	0.08738456	0.5184511
OLIG3	-0.04026136	0.7938564
OLMALINC	0.19654021	0.4090066
OLR1	-0.26565618	0.6801715
OMA1	0.01620455	0.9671438
OMD	0.08171433	0.9487197
OMP	0.08633595	0.6076454
ONECUT1	0.06156578	0.7756831
ONECUT2	-0.30893336	0.0528013
ONECUT3	0.06690026	0.7384161
OOEP	0.13941937	0.4736781
OOSP2	-0.08534374	0.7176067
OPA1	-0.47733555	0.0182495
OPA3	0.63420415	0.0051665
OPALIN	0.06185212	0.8296106
OPCML	-0.20244217	0.229684
OPHN1	0.2361393	0.3745898
OPLAH	-0.01811896	0.9448711
OPN1SW	0.12971702	0.5204335
OPN3	-0.06251755	0.7924586
OPN4	0.14545417	0.4420866
OPN5	-0.03230772	0.9095634
OPRD1	-0.12579646	0.4739715
OPRK1	0.58791694	0.0520528
OPRL1	-0.19401259	0.347141
OPRM1	-0.24553761	0.1838368
OPRPN	-0.13479786	0.4337616
