Gene	MayorLynn2011.FC	MayorLynn2011.p
FLJ13149	1.05	0.19
FLJ20512	1.72	0.19
PSMA4	1.32	0.19
DRG1	1.14	0.19
SETMAR	1.56	0.19
C21ORF33	1.38	0.19
ME2	1.61	0.19
PDPK1	1.2	0.19
PRIM1	1.6	0.19
GDAP2	1.27	0.19
TLR5	0.97	0.19
RYBP	1.27	0.19
LOC654017	1.37	0.19
WASL	1.36	0.19
ICMT	0.96	0.19
PSMD13	1.23	0.19
PIK3AP1	0.92	0.19
HIGD2A	1.34	0.19
SNW1	1.53	0.19
SET	1.46	0.19
TNRC5	1.33	0.19
MPZL1	1.51	0.19
EFHA1	1.48	0.19
SDHB	1.17	0.19
WDR6	1.11	0.19
PPGB	1.06	0.19
GOLGA4	1.54	0.19
LYPD3	1.02	0.19
TERF2	1.17	0.19
RPLP0	1.26	0.19
FLJ13391	1.23	0.19
ABCA12	1.33	0.19
NFKBIB	1.11	0.19
ARHGEF5	1.16	0.19
DNPEP	1.31	0.19
IER5	1.06	0.19
ACOX3	1.16	0.19
C20ORF31	0.94	0.19
L3MBTL2	1.18	0.19
NQO2	1.58	0.19
ARHGAP17	1.03	0.19
EFTUD2	1.13	0.19
CDC42BPB	1.45	0.19
TIMM17B	1.2	0.19
ARPC3	1.37	0.19
HTRA2	1.22	0.19
MAGEA8	1.23	0.19
PIGG	1.16	0.19
HLA-DRA	0.65	0.19
CIRBP	1.47	0.19
ZBP1	1.32	0.19
C6ORF145	1.39	0.19
FLJ25476	1.4	0.19
TOR1B	1.26	0.19
SNRPA1	1.32	0.19
DIP	1.6	0.19
TRMT5	1.38	0.19
BNIP2	1.55	0.19
CYB5D2	1.3	0.19
KCNN4	1.33	0.19
HDGF	1.08	0.19
MGC71993	1.33	0.19
MINPP1	1.46	0.19
DPP3	1.21	0.19
ZBED1	1.36	0.19
MARS	1.31	0.19
FAM100B	1.21	0.19
SCAMP3	1.22	0.19
NET1	1.34	0.19
FUBP3	1.35	0.19
GAB2	1.13	0.19
PIP5K1A	1.38	0.19
PREB	1.21	0.19
MGC2408	1.12	0.19
ACYP1	1.22	0.19
PKIB	0.92	0.19
PPP1R13L	1.21	0.19
ADRA2B	1.36	0.19
DGKQ	1.75	0.19
UTX	1.18	0.19
CLEC4A	1.6	0.19
ZNF366	1.29	0.19
COL6A2	1.59	0.19
VGLL3	1.36	0.19
EPHA1	1.05	0.19
SCAMP5	1.28	0.19
PEX1	1.84	0.19
CENTG2	1.23	0.19
GMPPB	1.22	0.19
SLC30A1	1.66	0.19
MBD3	1.3	0.19
MON1A	1.55	0.19
LZTS1	1.3	0.19
KIAA1411	1.05	0.19
PAK4	1.14	0.19
BRSK1	1.46	0.19
CHPF	1.36	0.19
SF3A2	1.17	0.19
DNAJC3	1.17	0.19
CBWD5	1.75	0.19
POLR2A	1.34	0.19
RNF40	1.29	0.19
MARCKSL1	1.07	0.19
CCNC	1.38	0.19
SH2D3C	0.97	0.19
SLC25A4	1.31	0.19
MEF2C	1.45	0.19
SCAMP2	1.24	0.19
MOSC1	1.49	0.19
ST3GAL1	1.34	0.19
ASMTL	1.53	0.19
FLJ13909	1.05	0.19
FUT4	1.62	0.19
ELF3	0.99	0.19
OR6B1	0.99	0.19
ZNF77	1.11	0.19
TLCD1	1.07	0.19
PDK4	1.21	0.19
TPK1	1.81	0.19
FLJ25996	1.37	0.19
LOC340843	1.94	0.19
ABHD3	1.82	0.19
PKIA	1.64	0.19
LOC349114	2.44	0.19
CGB5	1.04	0.19
ETS1	1.14	0.2
RNF150	1.42	0.2
ABCA3	1.04	0.2
LIMS2	0.61	0.2
RBAK	0.7	0.2
MUM1L1	3.21	0.2
HSPB1	0.9	0.2
CNAP1	0.79	0.2
ALPP	0.87	0.2
LXN	1.99	0.2
NEDD4	1.83	0.2
ZSCAN5	1.04	0.2
TSPYL4	1.02	0.2
MAP3K13	0.67	0.2
CD164	1.64	0.2
NUP133	1.58	0.2
PPAT	1.72	0.2
EGFR	1.16	0.2
FKBP3	1.7	0.2
MAP7	1.25	0.2
C3ORF1	1.61	0.2
WDR57	1.18	0.2
NUP85	1.26	0.2
FAM40A	1.06	0.2
USP4	1.22	0.2
HADHB	1.48	0.2
USP39	1.26	0.2
PFAS	1.41	0.2
NAGPA	1.19	0.2
TNRC15	1.25	0.2
RTN4IP1	1.51	0.2
ZNF410	1.31	0.2
CCT3	1.04	0.2
BCL7B	1.17	0.2
HNRPAB	1.15	0.2
MAPKBP1	1.72	0.2
PLOD3	0.92	0.2
SLC20A2	1.48	0.2
GGA3	1.27	0.2
MLYCD	1.24	0.2
PSMB5	1.03	0.2
SEC24D	1.43	0.2
RBMX2	1.53	0.2
APRT	1.37	0.2
LASS2	1.19	0.2
GTF2A2	1.48	0.2
PITPNA	1.11	0.2
C6ORF166	1.13	0.2
MAD2L2	1.03	0.2
DEPDC5	1.17	0.2
GATA2	1.2	0.2
MRPL53	1.3	0.2
CGA	0.94	0.2
BBX	1.41	0.2
TSSC1	1.25	0.2
C6ORF32	1.5	0.2
MXD1	1.17	0.2
PDCL	0.96	0.2
C8ORF34	0.85	0.2
TRIM21	1.19	0.2
ZFX	1.84	0.2
LRRC47	1.16	0.2
LARP1	1.26	0.2
APOA1BP	1.06	0.2
ZBTB39	1.23	0.2
P2RY2	0.97	0.2
STUB1	1.23	0.2
ENTH	1.31	0.2
NFE2L2	1.62	0.2
SLC35A2	1.15	0.2
PDCD2	1.35	0.2
ITGA3	1.2	0.2
KRAS	1.51	0.2
HSD17B1	0.91	0.2
PDCD8	1.33	0.2
CSNK2B	1.19	0.2
EPHA2	1.72	0.2
TXNDC12	1.17	0.2
ARF5	1.25	0.2
PPP2R3B	1.43	0.2
C5ORF13	1.87	0.2
POLE2	1.21	0.2
ZNF76	1.49	0.2
PRKD2	1.26	0.2
C10ORF54	1.21	0.2
PPIL5	1.39	0.2
CD97	1.48	0.2
AP4E1	1.78	0.2
CD52	0.64	0.2
NAGA	1.35	0.2
B3GALT4	0.97	0.2
ACP1	1.44	0.2
IRF8	1.23	0.2
ZC3H10	1.28	0.2
CDKN1C	1.28	0.2
ETFDH	1.39	0.2
LAMB1	1.82	0.2
RNF122	1.19	0.2
F8A1	1.44	0.2
RFX1	1.22	0.2
VANGL2	1.8	0.2
C17ORF28	1.09	0.2
C2ORF32	1.3	0.2
ARHGDIA	1.2	0.2
FLJ90586	1.27	0.2
TCTEX1D1	1.39	0.2
SLC9A3R1	1.28	0.2
TPM4	1.64	0.2
PTMS	1.12	0.2
C15ORF39	1.37	0.2
ACVR2B	1.11	0.2
SLC22A18AS	1.14	0.2
XPNPEP2	1.22	0.2
PIGR	0.95	0.2
HMGCS2	3.59	0.2
ZNF703	1.64	0.2
DEFA4	1.63	0.2
KRT24	4.95	0.21
MFGE8	0.82	0.21
SLC12A8	1.22	0.21
FAM14A	1.4	0.21
TNNT3	0.37	0.21
PPP1R3C	1.38	0.21
FLJ11286	0.92	0.21
AZI1	1.33	0.21
C7ORF28B	3.31	0.21
CLIC5	0.6	0.21
SULT2B1	0.82	0.21
BAX	0.86	0.21
TMEM28	0.83	0.21
FLJ11712	2.07	0.21
SIGLEC6	0.61	0.21
DOPEY1	1.76	0.21
CSHL1	0.88	0.21
C1ORF128	1.04	0.21
FLJ40142	1.51	0.21
CHFR	1.05	0.21
RUNDC1	1.14	0.21
FLJ12949	1.36	0.21
DHX16	1.22	0.21
PI15	1.15	0.21
DUS3L	1.38	0.21
FEM1B	1.57	0.21
HERPUD1	0.95	0.21
EIF2S2	1.51	0.21
UBE3B	1.28	0.21
GBAS	1.79	0.21
SRP68	1.12	0.21
ARD1A	1.02	0.21
RNF4	1.43	0.21
PHTF1	1.88	0.21
ANXA1	1.21	0.21
SNRPC	1.16	0.21
FLJ22555	1.2	0.21
MRPL46	1.45	0.21
TBCC	1.16	0.21
FLJ22624	1.79	0.21
C20ORF111	1.22	0.21
FKRP	1	0.21
C11ORF10	1.3	0.21
MRPS35	1.41	0.21
RAB11FIP2	1.78	0.21
UTP14A	1.19	0.21
CHERP	1.35	0.21
MGC3207	2.36	0.21
UBXD1	1.24	0.21
PRMT7	1.27	0.21
TMEM185A	1.35	0.21
FLJ90013	1.23	0.21
C20ORF4	1.17	0.21
SF4	1.08	0.21
BET1L	1.4	0.21
POLR2L	1.25	0.21
APOBEC3G	1.52	0.21
MAF	1.43	0.21
BIN1	1.64	0.21
C1ORF86	1.57	0.21
KPNA6	1.08	0.21
LTBP4	1.59	0.21
CHUK	1.37	0.21
KLHL20	1.53	0.21
MAN2A2	1.13	0.21
MAN2C1	1.22	0.21
SFRS2	1.36	0.21
FLJ11171	1.45	0.21
LENG4	1.45	0.21
DHTKD1	1.69	0.21
MKL1	1.61	0.21
KIAA1598	1.74	0.21
STAG3	1.18	0.21
RUTBC3	1.41	0.21
MAP3K7IP1	1.08	0.21
SSNA1	1.08	0.21
C6ORF192	1.09	0.21
TCP1	1.49	0.21
POLR2D	1.23	0.21
DNAJC5	1.2	0.21
ANKDD1A	1.59	0.21
CENTA2	1.2	0.21
SLC7A6	1.54	0.21
PPP2R1A	1.11	0.21
TXNL4A	1.13	0.21
IDE	1.33	0.21
SLC39A1	1.09	0.21
DHX30	1.27	0.21
DTL	1.24	0.21
EPHB3	1.32	0.21
WFDC1	1.53	0.21
CLDN4	1.71	0.21
TMEM16B	1.11	0.21
C10ORF11	1.36	0.21
SGSH	1.36	0.21
HMMR	1.3	0.21
BMP4	1.42	0.21
PECAM1	1.24	0.21
ST6GALNAC4	1.29	0.21
CCDC21	1.33	0.21
SMS	1.26	0.21
CNNM3	1.24	0.21
IGF1	1.98	0.21
MCPH1	1.39	0.21
SYDE1	0.88	0.21
C9ORF28	1.11	0.21
CASD1	1.77	0.21
ALPK3	1.15	0.21
ABCC12	1.11	0.21
NES	1.12	0.21
C15ORF27	1.58	0.21
ZNF574	1.3	0.21
KIAA0251	1.25	0.21
RAB3B	1.11	0.21
KRT17	1.47	0.22
MUC16	1.23	0.22
KRT6A	8.77	0.22
TOB1	0.98	0.22
U2AF1L2	0.87	0.22
THBS3	1.01	0.22
ASNS	1.55	0.22
TLE6	1.09	0.22
DPYSL3	1.95	0.22
TNFRSF14	0.88	0.22
STAT4	6.24	0.22
MGC4562	2.25	0.22
NDUFS1	0.76	0.22
SLC7A6OS	0.9	0.22
DKFZP686K16132	0.88	0.22
SPAG7	0.99	0.22
B3GALNT1	1.9	0.22
TPD52L1	0.95	0.22
PCOLCE	1.92	0.22
HMBS	1.13	0.22
ASB8	1.23	0.22
EIF2B1	1.15	0.22
RUFY1	0.99	0.22
PECI	1.66	0.22
KCMF1	1.16	0.22
COPS6	1.09	0.22
TADA1L	1.39	0.22
SMC4	1.57	0.22
YES1	1.51	0.22
FLJ20551	1.34	0.22
WDR5	1.41	0.22
TAX1BP1	1.33	0.22
ARID1A	1.27	0.22
MLH1	1.42	0.22
SFRS4	1.15	0.22
SRP46	1.44	0.22
BAZ1B	1.28	0.22
STK3	1.13	0.22
NPC1	1.1	0.22
C4ORF8	1.32	0.22
NDUFB3	1.64	0.22
FAHD2B	1.36	0.22
UBE4B	1.41	0.22
RRAGA	1.18	0.22
WDR20	1.21	0.22
VPRBP	1.11	0.22
FTSJ3	1.48	0.22
SSH3	1.21	0.22
RSPO3	1.09	0.22
SUV420H1	1.57	0.22
LOC285382	1.41	0.22
C14ORF94	1.48	0.22
UCK1	1.23	0.22
PARP1	1.31	0.22
CHD7	1.36	0.22
LOC728643	1.21	0.22
HSDL2	1.47	0.22
SWAP70	1.25	0.22
TXNL2	1.27	0.22
ARPC5L	1.26	0.22
TMEM16K	1.04	0.22
ALAD	1.31	0.22
DPM1	1.58	0.22
FMO4	1.38	0.22
SLC10A3	1.14	0.22
MTFR1	1.54	0.22
CUL2	1.4	0.22
COX8A	1.3	0.22
UBAP2	1.34	0.22
HMFN0839	1.65	0.22
C12ORF4	1.8	0.22
RFC4	1.49	0.22
ABCF2	1.25	0.22
C19ORF25	1.06	0.22
LARP5	1.49	0.22
SETD8	1.5	0.22
RNF146	1.21	0.22
LAP3	1.38	0.22
MGST3	1.31	0.22
DET1	1.23	0.22
RUVBL2	1.14	0.22
KNTC2	1.27	0.22
OTUB2	0.79	0.22
RFC3	1.35	0.22
VPS33A	1.28	0.22
NPM3	1.32	0.22
DCAMKL1	1.45	0.22
FKBPL	0.94	0.22
ALDH2	1.43	0.22
CMAS	1.54	0.22
UEV3	1.43	0.22
DNMT1	1.28	0.22
SLC11A1	0.82	0.22
SESN3	1.01	0.22
CA2	1.27	0.22
SIN3B	1.4	0.22
ADK	1.13	0.22
SLC12A4	1.16	0.22
NIPSNAP1	1.26	0.22
NOC2L	1.37	0.22
MAP4K1	1.02	0.22
TKT	1.15	0.22
MYO1C	1.53	0.22
TUBB2B	1.03	0.22
GTF2F1	1.34	0.22
TMEM108	1.01	0.22
FAM73B	1.35	0.22
MYO7A	1.61	0.22
TMEM117	1.39	0.22
ERBB3	1.23	0.22
PODN	0.89	0.22
TMEM173	1.31	0.22
CHRNB1	1.34	0.22
DJ122O8.2	1.66	0.22
CGI-38	1.04	0.22
AMFR	1.29	0.22
PARS2	1.19	0.22
PHLPP	1.26	0.22
PLEC1	1.56	0.22
PTGFRN	1.42	0.22
SPG21	1.18	0.22
KIAA1324L	1.21	0.22
TGFB3	1.51	0.22
ASF1B	1.01	0.22
HIST1H2BE	1.4	0.22
WWTR1	1.17	0.22
GPR68	0.92	0.22
RSNL2	1.28	0.22
LOC440925	0.33	0.22
ANGPT2	2.6	0.22
LCN2	0.88	0.22
NDP	3.3	0.23
S100A3	0.97	0.23
KCNMB4	0.98	0.23
EVPL	0.76	0.23
MT1E	1.21	0.23
IRAK2	0.92	0.23
SNCAIP	1.79	0.23
MALL	1.05	0.23
ELOVL6	1.87	0.23
COPZ2	1.43	0.23
RAB13	1.08	0.23
NEK11	0.56	0.23
BGN	0.78	0.23
CHD1L	1.84	0.23
NECAP1	0.96	0.23
SLCO2A1	0.71	0.23
TP73L	2.02	0.23
CCNT1	0.89	0.23
ATF6	0.95	0.23
LRRC14	1.64	0.23
STX3A	0.97	0.23
IIP45	0.82	0.23
EIF4H	1.04	0.23
C1ORF35	1.13	0.23
ANXA3	1.83	0.23
PDXP	1.77	0.23
AHCYL1	1.06	0.23
ERCC4	1.21	0.23
UNC50	1.14	0.23
MRPL16	1.23	0.23
EIF5B	1.45	0.23
COQ6	1.22	0.23
B4GALT5	1.41	0.23
PPP1R2	1.66	0.23
HSPE1	1.37	0.23
GAPVD1	1.39	0.23
VPS72	1.19	0.23
NKIRAS2	1.06	0.23
PHF2	1.19	0.23
CUL1	1.34	0.23
ZNF306	1.48	0.23
YTHDF2	1.21	0.23
ASB6	1.19	0.23
RECQL5	1.04	0.23
RACGAP1	1.16	0.23
XRCC5	1.35	0.23
EIF5	1.43	0.23
CHCHD7	1.98	0.23
HECA	1.31	0.23
PDGFRL	1.06	0.23
BSDC1	1.1	0.23
ACPL2	1.57	0.23
DDT	1.46	0.23
DDB1	1.07	0.23
BMP1	0.97	0.23
GLRX	1.03	0.23
N-PAC	1.22	0.23
FHL3	1.3	0.23
WBP11	1.18	0.23
VPS4B	1.5	0.23
GORASP1	1.15	0.23
ADAMTSL2	1.64	0.23
C10ORF86	1.34	0.23
RQCD1	1.36	0.23
C14ORF142	1.5	0.23
ZNF443	1.72	0.23
FDFT1	1.26	0.23
FBN2	1.06	0.23
AKAP8L	1.4	0.23
GPR177	1.34	0.23
EIF4G1	1.14	0.23
KIAA2013	1.09	0.23
PMM2	1.31	0.23
BRD3	1.37	0.23
VWA1	1.21	0.23
ATP5O	1.35	0.23
RAB11FIP4	1.37	0.23
VPS39	1.31	0.23
C1QR1	0.85	0.23
RAD9A	1.37	0.23
ZFHX1B	1.35	0.23
PRPF3	1.38	0.23
KHDRBS1	1.36	0.23
VPS4A	1.33	0.23
NFU1	1.42	0.23
BTD	1.1	0.23
CPT1B	1.14	0.23
MSI2	1.5	0.23
SRXN1	1.56	0.23
ID1	1.02	0.23
AKNA	1.49	0.23
ANKRD15	1.55	0.23
SFRS15	1.23	0.23
USP16	1.59	0.23
MRPL2	1.17	0.23
CCDC3	0.82	0.23
TAF2	1.77	0.23
CDS1	1.35	0.23
CCDC22	1.57	0.23
SYVN1	1.13	0.23
PARP2	1.49	0.23
LSM16	1.39	0.23
TIMELESS	1.08	0.23
SH3BGRL2	1.51	0.23
GLCE	1.62	0.23
KIAA0963	1.25	0.23
PPIL1	1.44	0.23
HSPA14	1.55	0.23
ETNK1	1.16	0.23
RCBTB2	1.51	0.23
IPO13	1.06	0.23
TLR4	1.11	0.23
ABHD8	1.4	0.23
C1QTNF5	1.12	0.23
ATP8B4	1.62	0.23
WNT2	1.87	0.23
UIP1	1.39	0.23
MMP14	1.74	0.23
KIAA0460	1.56	0.23
TMED4	1.09	0.23
KIAA0644	1.42	0.23
TM6SF1	1	0.23
ABCG5	1.12	0.23
KIAA1199	2.8	0.23
ABCB1	2.02	0.23
IL1RL1	0.24	0.24
SPOCK	1.48	0.24
BNIPL	0.66	0.24
ABI3BP	3.32	0.24
ALDH1A2	1.9	0.24
SAP30	1.24	0.24
DKK3	1.19	0.24
NUAK1	1.45	0.24
AXL	1.08	0.24
FLJ43339	1.42	0.24
DDEF2	1.56	0.24
DDIT4	1.13	0.24
COL5A1	1.78	0.24
EMILIN2	1.52	0.24
PRSS23	0.94	0.24
HMHA1	0.48	0.24
SYT11	0.93	0.24
PAPSS2	1.02	0.24
PXDN	1.03	0.24
ZDHHC8	1.33	0.24
LOC90639	1.25	0.24
DLC1	1.45	0.24
CBLN3	2.04	0.24
HPS1	0.77	0.24
HBG1	0.8	0.24
CCDC55	2.3	0.24
LMAN2L	0.84	0.24
K-ALPHA-1	0.94	0.24
SGPL1	0.84	0.24
CDK7	1.74	0.24
CKAP2	1.58	0.24
NIT1	1.02	0.24
XRCC6	1	0.24
DFNA5	1.72	0.24
THUMPD1	1.65	0.24
AIG1	1.74	0.24
SP1	1.08	0.24
DDX56	1.14	0.24
RUSC1	1.05	0.24
FLJ34969	1.7	0.24
CCNB2	0.99	0.24
SEC22L1	1.14	0.24
SMTN	1.65	0.24
PGEA1	1.12	0.24
ZNF598	1.34	0.24
ZNF384	1.34	0.24
CHST12	1.5	0.24
TIMP2	1	0.24
PHF13	1.17	0.24
TGFBR3	1.25	0.24
MAGEH1	1.12	0.24
LSM4	1.2	0.24
ECD	1.37	0.24
TLK1	1.22	0.24
MON1B	1.44	0.24
ZMYM4	1.72	0.24
LOC653216	1.54	0.24
COPZ1	1.08	0.24
C6ORF129	1.22	0.24
ATP2A2	1.29	0.24
TTC15	1.29	0.24
PCNT2	1.27	0.24
HNRPA0	1.43	0.24
SLITRK4	1.18	0.24
OTUB1	1.16	0.24
NCOR1	1.18	0.24
PPIH	1.26	0.24
C6ORF125	1.12	0.24
API5	1.7	0.24
MGC70857	1.14	0.24
PEX16	1.32	0.24
FEZ1	1.32	0.24
AFTIPHILIN	1.3	0.24
PDCD10	1.32	0.24
TAF5	1.25	0.24
CABLES1	1.01	0.24
ATP5J	1.39	0.24
FEZ2	1.14	0.24
C6ORF89	1.08	0.24
LMBRD1	1.46	0.24
CTCF	1.13	0.24
RBX1	1.3	0.24
KISS1	0.84	0.24
LOC646200	1.48	0.24
ARF3	1.16	0.24
TBP	1.34	0.24
ZC3H15	1.49	0.24
XTP3TPA	1.27	0.24
CYB561	1.07	0.24
C1ORF131	1.48	0.24
CHKA	1.23	0.24
FLJ90757	1.04	0.24
SLC35C2	1.32	0.24
MED9	1.22	0.24
QIL1	1.41	0.24
SCO1	1.43	0.24
LOC374395	1.13	0.24
AP1G2	1.14	0.24
PSIP1	1.53	0.24
CEP55	1.36	0.24
TMEM109	1.21	0.24
RABAC1	1.35	0.24
HOXD13	1.23	0.24
ATAD3A	1.22	0.24
NY-SAR-48	1.36	0.24
TRIM33	1.45	0.24
B3GTL	1.72	0.24
UNQ846	1.64	0.24
GPD1L	1.36	0.24
GRWD1	1.14	0.24
RANBP9	1.64	0.24
EPS8L1	0.97	0.24
ZDHHC18	1.27	0.24
ALS2CR2	1.2	0.24
DNASE1L1	1.31	0.24
LACTB2	1.45	0.24
IFNA8	1.71	0.24
LOC285193	1.46	0.24
GNAI2	1.2	0.24
MYO1E	1.31	0.24
LSMD1	1.46	0.24
SLC25A11	1.45	0.24
TXNRD1	1.05	0.24
SAMD4B	1.38	0.24
FLJ40722	1.2	0.24
ARMC5	1.72	0.24
ERC1	1.3	0.24
LAPTM5	1.28	0.24
SLC29A3	1.24	0.24
SYT12	0.97	0.24
HCA112	1.22	0.24
STX1A	1.26	0.24
ATP1B2	1.13	0.24
ST6GAL1	1.11	0.24
SLC43A2	1.13	0.24
LRRC33	1.15	0.24
BTN3A2	1.21	0.24
SEMA7A	1.19	0.24
OSMR	1.47	0.24
C12ORF5	1.12	0.24
CCDC71	1.01	0.24
EBI2	1.4	0.24
CTSZ	1	0.24
MCOLN3	2.54	0.24
PRELP	1.07	0.24
AMAC1L2	1.26	0.24
MS4A7	1.22	0.24
CD4	1.02	0.24
KMO	1.45	0.24
FAM3B	2.01	0.24
FKBP9	1.13	0.24
RSN	1.75	0.24
XAF1	0.87	0.25
SPOCK2	0.97	0.25
COX7A1	0.9	0.25
WDR54	1.17	0.25
SPIRE1	1.69	0.25
LARP6	1.14	0.25
GFOD1	0.89	0.25
ADARB1	1.07	0.25
MXRA5	0.93	0.25
RUTBC1	1.16	0.25
RPS9	1.13	0.25
MMP23B	1.81	0.25
DSCR4	0.51	0.25
TM4SF5	0.27	0.25
ATP1B3	0.87	0.25
PDZD8	2.04	0.25
C1ORF77	0.97	0.25
DNAJB1	0.98	0.25
AHSA1	1	0.25
PHKB	1.65	0.25
BECN1	1.13	0.25
INT4	1.18	0.25
POLR2F	1.1	0.25
NDUFB2	1.4	0.25
C1ORF97	1.95	0.25
ANXA5	1.04	0.25
DGAT1	1.19	0.25
MSRA	1.43	0.25
BIVM	2.39	0.25
DAB2	0.92	0.25
RAB3IP	0.99	0.25
POLR3B	1.11	0.25
RAF1	1.17	0.25
BRD1	1.33	0.25
NUP205	1.32	0.25
PSMC2	1.31	0.25
CTSC	1.3	0.25
BCAR3	0.8	0.25
U2AF2	1.2	0.25
ZNF11B	2.03	0.25
CHRAC1	1.31	0.25
SCRN2	1.28	0.25
GPATC1	1.2	0.25
PKNOX2	1.37	0.25
DSCR8	1.31	0.25
ISOC1	1.12	0.25
LIG1	1.47	0.25
SMG5	1.12	0.25
RBAF600	1.32	0.25
ACAA2	1.24	0.25
YIPF1	1.11	0.25
TRAFD1	1.2	0.25
POLG	1.28	0.25
WDR37	1.43	0.25
RCSD1	1.2	0.25
MORC2	1.17	0.25
ARFRP1	1.22	0.25
TMCO4	1.02	0.25
ID2	1.6	0.25
MTHFS	1.18	0.25
CASP4	1.44	0.25
C9ORF32	1.44	0.25
TMEM50A	1.21	0.25
MNT	1.51	0.25
NFYC	1.17	0.25
INPP5A	1.53	0.25
EED	1.34	0.25
MYCBP2	1.43	0.25
YPEL5	1.38	0.25
AUH	1.33	0.25
MRPL43	1.2	0.25
NDUFB7	1.1	0.25
DGCR8	0.94	0.25
SENP5	1.32	0.25
RBBP8	1.62	0.25
KCTD17	1.4	0.25
RNF135	1.17	0.25
BLOC1S1	1.23	0.25
ATBF1	1.49	0.25
IHPK2	1.53	0.25
ENY2	1.6	0.25
PLEKHA3	1.62	0.25
C9ORF74	1.23	0.25
UXT	1.2	0.25
NINJ1	1.22	0.25
SNX13	1.76	0.25
SRPX	2.01	0.25
AMOT	1.41	0.25
STT3A	1.33	0.25
ABCB9	1.46	0.25
ARL6IP2	1.29	0.25
LOC647881	1.29	0.25
CD34	0.88	0.25
COL15A1	0.99	0.25
C20ORF22	0.91	0.25
SLC4A1AP	1.53	0.25
CFB	0.97	0.25
DLG7	1.14	0.25
C16ORF28	1.23	0.25
CNOT6L	1.34	0.25
C2ORF18	1.1	0.25
STOML1	1.27	0.25
ILVBL	1.01	0.25
PARD6G	1.16	0.25
C3ORF59	1.41	0.25
C9ORF75	1.38	0.25
SSFA2	1.48	0.25
DDX59	1.29	0.25
VPS18	1.36	0.25
APBB1IP	1.25	0.25
ZBTB7B	1.28	0.25
PELP1	1.34	0.25
MRPS2	1.54	0.25
SNX12	1.13	0.25
RAMP2	0.91	0.25
LOC400657	1.81	0.25
ISYNA1	1.63	0.25
APOD	0.8	0.25
SLC7A5	0.96	0.25
PDLIM5	1.25	0.25
PUNC	1.31	0.25
C19ORF28	1.42	0.25
MYBPH	1.4	0.25
LGALS14	1.43	0.25
SLC25A35	2.97	0.25
HBZ	5.38	0.25
CYP1A1	8.92	0.25
SERPINA3	0.59	0.26
PNCK	0.94	0.26
EPDR1	2.69	0.26
FOXO1A	1.33	0.26
TIPARP	1.45	0.26
LUM	3.28	0.26
KIAA0367	3.75	0.26
WNT5A	2.1	0.26
ISG15	0.84	0.26
CALD1	0.48	0.26
DKFZP586H2123	1.43	0.26
FLNC	0.79	0.26
GADD45A	1.45	0.26
PTHR1	0.96	0.26
DPP7	0.96	0.26
PLD1	1.48	0.26
HOM-TES-103	1.17	0.26
SLC25A22	1.41	0.26
ZADH2	1.33	0.26
NEK8	1.56	0.26
RAD21	1.57	0.26
FLJ22374	0.71	0.26
GSPT2	2.5	0.26
NOX4	2.6	0.26
KTN1	2.07	0.26
ADRB2	0.74	0.26
GPR137	0.92	0.26
ATG10	1.81	0.26
LEPROT	1.01	0.26
C9ORF39	1.15	0.26
LOC90826	1.74	0.26
KIAA0133	1.65	0.26
ZDHHC13	1.04	0.26
C16ORF33	0.89	0.26
C1ORF19	1.66	0.26
MGC3196	1.54	0.26
ZNF200	1.04	0.26
NUDCD2	1.71	0.26
MRPL48	1.43	0.26
SAAL1	1.68	0.26
SCHIP1	1.53	0.26
KRCC1	1.93	0.26
ECHS1	1.41	0.26
DNAJB12	1.05	0.26
ABCB10	1.7	0.26
PDIA3P	1.38	0.26
PDHA1	1.18	0.26
ASXL2	1.39	0.26
UFC1	1.12	0.26
ATP5A1	1.19	0.26
RP1-112K5.2	1.14	0.26
CABC1	1.34	0.26
H3F3A	1.2	0.26
MGC13096	1.57	0.26
PPP1R12A	1.72	0.26
DNAJC9	1.26	0.26
MRPS27	1.26	0.26
UBL5	1.38	0.26
SKP2	1.56	0.26
FBXO8	1.23	0.26
C4ORF14	1.33	0.26
RBPSUH	1.21	0.26
WEE1	1.27	0.26
SYNJ1	1.12	0.26
IREB2	1.59	0.26
UQCRC2	1.53	0.26
PSMB2	1.17	0.26
NDNL2	1.24	0.26
PEBP1	1.28	0.26
LBH	0.97	0.26
LTV1	1.78	0.26
KATNB1	1.27	0.26
TFCP2	1.28	0.26
VTI1B	1.21	0.26
C15ORF44	1.31	0.26
PCGF2	1.27	0.26
FLJ22318	1.12	0.26
MRPL39	1.39	0.26
MCM7	1.17	0.26
DXS9879E	1.47	0.26
SURF1	1.29	0.26
WHSC2	1.47	0.26
ZNF329	1.28	0.26
SSR2	1.12	0.26
MAK10	1.8	0.26
HERC2	1.26	0.26
BTC	1.88	0.26
CDCA8	1.07	0.26
TUBB3	1.36	0.26
C2ORF4	1.32	0.26
C2ORF30	1.55	0.26
PNRC2	1.39	0.26
PRDX5	1.24	0.26
CTDSPL2	1.61	0.26
MGC72080	1.52	0.26
STK11IP	1.29	0.26
UBE1	1.02	0.26
COX17	1.21	0.26
PIM3	1.25	0.26
ARL3	1.85	0.26
ALG14	1.31	0.26
PACSIN3	1.14	0.26
NEO1	1.26	0.26
GIYD1	1.12	0.26
ZNF581	1.55	0.26
ALDOA	1.2	0.26
CST9	1.27	0.26
