Gene	Ackerman2015.log2FC	Ackerman2015.padj
SLC9A1	-0.010070504	0.997753628
ZNF623	-0.010008986	0.995327945
WDR49	-0.009989722	0.997826128
CERCAM	-0.009973888	0.997753628
DNMT1	-0.009956301	0.997283303
AMER1	-0.009923102	0.997753628
DNMT3A	-0.009850733	0.994979649
CNOT4	-0.009759074	0.995129029
DDX51	-0.009754437	0.996860361
PARD3B	-0.009722569	0.997753628
TAS2R20	-0.009708363	0.997826128
GDF9	-0.009688638	NA
GART	-0.009648892	0.996225795
FLJ44635	-0.009622161	NA
CLCA2	-0.009504734	0.997826128
F2RL1	-0.009467803	0.997826128
FAM170A	-0.009434091	NA
GOLGA1	-0.009430683	0.996225795
CENPO	-0.00940337	0.997753628
HSF1	-0.009372638	0.996385072
PI4KA	-0.009336156	0.997090326
FAM222B	-0.009291516	0.997753628
MTUS1	-0.009278094	0.997753628
ZNF648	-0.009266575	NA
PAPL	-0.009262614	0.997826128
PLEKHA1	-0.009251277	0.997753628
SRSF11	-0.009237779	0.996225795
POLR3E	-0.009204404	0.995235399
KLK6	-0.009157664	NA
FAM221B	-0.009157664	NA
SLC35G6	-0.009157664	NA
NOC3L	-0.00915311	0.997283303
ATG4B	-0.009140791	0.996256278
MX2	-0.009102838	0.997816246
CUL4B	-0.009082052	0.994200856
ABCD4	-0.009072275	0.996860361
SMARCD1	-0.009060693	0.995327945
MED21	-0.008986529	0.997753628
RNF43	-0.008977118	0.997753628
MLLT4	-0.008957415	0.997090326
KCTD2	-0.008920734	0.997283303
ALG10	-0.008869477	0.997753628
ZNF445	-0.008826488	0.997283303
CNOT10	-0.008808243	0.995270364
MAD1L1	-0.008795202	0.997283303
ATP1B1	-0.008725545	0.997753628
IFFO1	-0.008722519	0.997753628
PDCD11	-0.008694337	0.995129029
NFATC3	-0.008637908	0.996225795
MOCS2	-0.008612646	0.997753628
PLXNA2	-0.008608451	0.997753628
BTBD1	-0.00857573	0.997753628
C5orf24	-0.008480958	0.996225795
CCDC51	-0.00846171	0.997753628
OLFML2B	-0.008450231	0.997753628
PURB	-0.008415703	0.99493579
ZNF613	-0.008400739	0.997826128
FNIP2	-0.008386344	0.997753628
HEBP1	-0.008357788	0.997753628
ZNF248	-0.0083122	0.997753628
SEC24B	-0.008304532	0.995129029
AFF3	-0.008279364	0.997753628
TREX1	-0.008272222	0.997753628
LUC7L2	-0.008271661	0.997753628
RAB44	-0.008226766	NA
ZNF493	-0.008181108	0.997753628
TTC28	-0.008138334	0.997753628
ABHD12	-0.008135991	0.997753628
SRRM5	-0.008075898	NA
C9orf114	-0.008069968	0.997283303
PTPN21	-0.008054588	0.997283303
42067	-0.008040488	0.997826128
RAB4A	-0.008027174	0.997283303
TP53BP1	-0.008008551	0.994200856
C14orf28	-0.00798407	0.997753628
AQP1	-0.00796741	0.997826128
ACAA1	-0.007955313	0.997753628
ARHGEF17	-0.007935915	0.997753628
CEP78	-0.007924235	0.997753628
PRDM4	-0.007852816	0.996860361
AP2A2	-0.007812255	0.997753628
STMN4	-0.007781565	NA
UPK1A	-0.007781565	NA
VGLL3	-0.007775082	0.997753628
TPT1	-0.00774691	0.997090326
MRPL14	-0.007740394	0.997753628
DCPS	-0.007732619	0.997753628
TMEM45B	-0.007704075	0.997826128
C8orf33	-0.007691651	0.997558493
HOXA6	-0.007679653	NA
TMPRSS11A	-0.007679653	NA
NKX3-2	-0.007679653	NA
TMEM238	-0.007679653	NA
ATP2B2	-0.007679653	NA
THEG	-0.007679653	NA
HIST2H2BE	-0.007674475	0.997753628
STYXL1	-0.007613033	0.997753628
EFEMP2	-0.007591756	0.997753628
IGSF11	-0.007569404	0.99856987
IVD	-0.007510919	0.997741634
FADS3	-0.00750958	0.997753628
RIMS4	-0.007503698	NA
PLD6	-0.007499487	0.997826128
AK4	-0.007486353	0.997753628
TMBIM1	-0.007442295	0.997753628
HCFC2	-0.007438718	0.997283303
CCDC173	-0.007406085	NA
ZNF629	-0.007398462	0.997753628
PPCS	-0.007360981	0.996225795
SKIV2L2	-0.007337735	0.995676943
RCE1	-0.007337409	0.997753628
MRPS23	-0.007268381	0.997753628
UGGT1	-0.007098397	0.997753628
MYLK4	-0.0070824	0.997826128
FRMD5	-0.007059557	NA
RFPL1	-0.007059557	NA
OPN4	-0.007059557	NA
OR10G9	-0.007059557	NA
SLITRK3	-0.007059557	NA
HIGD1C	-0.007036366	NA
SENP3	-0.007024155	0.997753628
OR6A2	-0.007000071	NA
SLC35B2	-0.006986842	0.997753628
SUB1	-0.006976725	0.997753628
HNRNPK	-0.006959092	0.995129029
TGFB3	-0.006908126	0.998538832
MCMBP	-0.006904473	0.995533856
CCNT1	-0.00687608	0.997741634
SEC11A	-0.006854676	0.997283303
FTSJ2	-0.006842318	0.997753628
THEM4	-0.006825594	0.997753628
POTEE	-0.006766679	0.99856987
CEACAM5	-0.00674988	0.997826128
BCAP29	-0.006675312	0.997753628
DDX3Y	-0.006645568	0.99856987
TMEM41B	-0.006624893	0.997741634
ZFP37	-0.006536463	0.997826128
JMJD1C	-0.006526678	0.996860361
DDX20	-0.006521995	0.997753628
PPOX	-0.006518864	0.997753628
NDUFB6	-0.00650037	0.997753628
NAPSA	-0.00648399	NA
FAT3	-0.006459399	0.997826128
MTM1	-0.006458155	0.997753628
DLC1	-0.006357897	0.997753628
ABCA5	-0.006354899	0.997283303
TP53RK	-0.006344758	0.997753628
GPR107	-0.006339951	0.997283303
UBN2	-0.00631765	0.996860361
ZNF645	-0.006303782	NA
SPEF2	-0.006295901	0.997826128
KIAA0100	-0.006290873	0.997753628
CCDC28A	-0.006259917	0.997753628
ASB4	-0.006256469	0.997826128
CD81	-0.006249348	0.997753628
TES	-0.006212409	0.997753628
ATG2B	-0.006194619	0.997283303
CD3EAP	-0.006135759	0.997753628
QSOX2	-0.006132915	0.997826128
JRKL	-0.006098806	0.997753628
DCLRE1C	-0.005991303	0.997753628
PCM1	-0.005968585	0.997753628
SERTAD1	-0.005951054	0.997826128
ZNF574	-0.005944012	0.997826128
EML4	-0.005862344	0.997753628
CD274	-0.005851035	0.99856987
C9orf9	-0.005775927	0.99856987
DYNC2H1	-0.0057649	0.997826128
GLT8D1	-0.005738967	0.997753628
SPAG4	-0.005730616	0.99856987
C14orf2	-0.005710093	0.997826128
RLF	-0.005702055	0.997753628
KIAA1211L	-0.005697152	0.997826128
FAM65C	-0.005668436	0.99856987
IFT80	-0.005668194	0.997826128
LRRC25	-0.005643547	0.997826128
BTBD8	-0.00563792	0.997826128
HIST1H2BO	-0.005611623	0.997826128
ANO1	-0.005526624	0.997826128
SLC25A34	-0.005506448	0.997753628
UBC	-0.005462272	0.997753628
TMEM50A	-0.005409264	0.997753628
PDE8B	-0.005407925	0.997826128
SMARCE1	-0.005399371	0.997826128
NDN	-0.005383696	0.99856987
FAM168A	-0.005377657	0.997741634
SELV	-0.00535179	NA
AGFG1	-0.005307446	0.997753628
THOC2	-0.005281393	0.997741634
ZNF233	-0.005275596	0.99856987
P2RY14	-0.005262533	0.998489258
DR1	-0.005241223	0.997753628
TCERG1	-0.005239713	0.997753628
UBE2D3	-0.005219468	0.997753628
MPHOSPH9	-0.005164714	0.997826128
ENKD1	-0.005092909	0.997826128
DPY19L3	-0.005088889	0.997826128
PRMT1	-0.005082333	0.997753628
HNRNPH3	-0.005080154	0.997816246
CCDC7	-0.005023304	0.99856987
KRTAP5-6	-0.005014491	NA
KIFC1	-0.00500846	0.99856987
PARG	-0.004967201	0.997753628
VDAC1	-0.004920752	0.997753628
RNF214	-0.004919368	0.997753628
PLEKHB2	-0.004898748	0.997826128
JPH3	-0.004888453	NA
FIGF	-0.004878509	NA
MTHFD1	-0.004854249	0.997826128
CPSF1	-0.004843484	0.998012322
ARHGAP1	-0.004834806	0.997753628
RRAGA	-0.004770568	0.997753628
STX18	-0.004752982	0.997753628
OAZ1	-0.004746285	0.997753628
HDAC6	-0.004731332	0.997753628
RBBP4	-0.004727864	0.997753628
MRGPRX3	-0.004713972	0.997826128
ABAT	-0.004694256	0.99856987
SMAP1	-0.004684206	0.997753628
DNAJC12	-0.004648426	NA
SGSH	-0.004633986	0.997753628
KRR1	-0.004577971	0.997753628
RNF44	-0.004575937	0.997826128
PPIAL4G	-0.004553368	NA
GNAT3	-0.004553368	NA
SNTG1	-0.004553368	NA
CASR	-0.004553368	NA
NCAPG	-0.004509725	0.99856987
ANKHD1-EIF4EBP3	-0.004481083	NA
DENND1B	-0.004374948	0.998118295
ERP29	-0.004365812	0.997826128
MCM7	-0.004353424	0.997753628
MAFK	-0.004299227	0.997826128
RNF169	-0.004270396	0.997816246
BTBD6	-0.004257135	0.997826128
SCML2	-0.004236582	0.997826128
NBL1	-0.004220213	NA
C20orf195	-0.004205143	NA
FURIN	-0.004133764	0.997826128
ZHX1	-0.0040949	0.997753628
SH3GL1	-0.004078709	0.997826128
LAG3	-0.004069906	NA
CEP95	-0.004056721	0.997816246
PDE6C	-0.004009103	NA
ILKAP	-0.004007399	0.997826128
UTP23	-0.003991132	0.997753628
USP1	-0.003957924	0.997753628
TSNARE1	-0.003923729	0.99856987
AQR	-0.003909576	0.997753628
DENND6B	-0.00387315	0.99856987
TDP2	-0.003852639	0.99856987
GEMIN4	-0.003803355	0.997826128
PARK7	-0.003771554	0.997826128
YTHDF3	-0.003741456	0.997753628
SYT4	-0.003724325	NA
UBL4B	-0.003724325	NA
TNFSF11	-0.003724325	NA
OR4K5	-0.003724325	NA
NXF3	-0.003724325	NA
PPP1R1A	-0.003724325	NA
SPACA3	-0.003724325	NA
SLC13A2	-0.003724325	NA
YIPF6	-0.00369042	0.997826128
ARIH2	-0.003689245	0.997826128
ZNF331	-0.003660326	0.997826128
SLC25A42	-0.003656996	0.99856987
NPPC	-0.003646485	NA
ACSM4	-0.003646485	NA
C11orf85	-0.003646485	NA
DEFB124	-0.003646485	NA
IRX4	-0.003646485	NA
CXCR3	-0.003646485	NA
GPX2	-0.003646485	NA
LRTM2	-0.003646485	NA
HADH	-0.003632238	0.99849344
MED6	-0.00363149	0.997753628
KIF4B	-0.003625962	NA
PPFIA1	-0.003623122	0.997753628
PIK3R4	-0.003590898	0.997753628
IMPAD1	-0.003582272	0.997753628
APOO	-0.003579312	0.99856987
ZNF782	-0.003546604	0.99856987
FBXW4	-0.003504712	0.997826128
GNAI2	-0.003444071	0.997816246
KDELC1	-0.003431329	0.99856987
GATA5	-0.003429559	NA
ATPAF1	-0.003393152	0.997826128
MAGEF1	-0.003390969	0.997826128
WDR7	-0.003381984	0.997826128
HNRNPF	-0.003365516	0.997826128
COPB2	-0.003365416	0.997826128
TMEM232	-0.003364642	0.99856987
PPP6R3	-0.003342853	0.997753628
PSMC1	-0.003334125	0.997826128
C16orf80	-0.003333133	0.997826128
LRPPRC	-0.003215351	0.997826128
GTF3C6	-0.003175074	0.997826128
FAM192A	-0.003144369	0.997826128
THOC6	-0.003124895	0.997826128
PHOX2B	-0.003104521	NA
CPLX4	-0.003104521	NA
GNRHR	-0.003104521	NA
RNF175	-0.003104521	NA
C6orf7	-0.003104521	NA
ERAS	-0.003104521	NA
TMEM196	-0.003104521	NA
WNT8B	-0.003104521	NA
SLC7A10	-0.003068559	0.99950495
GSDMD	-0.003051066	0.998289966
CD79A	-0.003046173	NA
PTGER1	-0.003016355	NA
ALG5	-0.002969256	0.99849344
RND3	-0.002934359	0.99856987
ST3GAL3	-0.002897776	0.99856987
ALS2	-0.002888545	0.997826128
SRRM4	-0.00288211	0.99856987
DHX36	-0.002867655	0.997826128
UBE2V1	-0.002856508	0.99856987
ZFX	-0.002854331	0.99856987
LAMTOR2	-0.002833886	0.99856987
TRPV6	-0.002817916	0.997826128
NDUFB10	-0.002780983	0.99856987
CYP2C19	-0.002731486	NA
RAB2B	-0.002693107	0.99856987
MAP7D2	-0.002673968	0.99856987
PCDH11X	-0.002653542	0.99856987
KIAA0408	-0.002630638	NA
PTPN20B	-0.002630638	NA
RNASE9	-0.002630638	NA
C15orf52	-0.002628174	0.99856987
PLA2G4C	-0.002614581	0.99856987
TTC25	-0.002605754	0.99950495
ZNF207	-0.002603179	0.997826128
SATB1	-0.002602706	0.99856987
RTF1	-0.002590421	0.997826128
ARL8B	-0.002590382	0.997826128
SLC7A8	-0.002529993	0.99856987
FECH	-0.002469183	0.99856987
BIRC6	-0.002460646	0.997826128
PUF60	-0.002454562	0.997826128
SLC35C2	-0.002419952	0.997826128
SLC24A2	-0.002407582	0.999607912
NDUFV1	-0.002368497	0.997901055
HIATL1	-0.002343613	0.99856987
ZFAND2B	-0.002342029	0.99856987
SRSF1	-0.002341583	0.997826128
FADD	-0.002294321	0.99856987
MGAT3	-0.00228008	0.99856987
ATP1B4	-0.002258964	0.99856987
GNG4	-0.002200099	0.99856987
SUPT20HL2	-0.00219298	NA
BTG2	-0.002174943	0.99856987
NNT	-0.002147694	0.99856987
ZNF551	-0.002103084	0.99856987
NAPRT1	-0.002087776	0.99950495
PKMYT1	-0.002053828	0.998644657
MAP4K5	-0.002026017	0.99856987
IGSF6	-0.002019886	0.99950495
HDAC8	-0.00200912	0.99856987
HNRNPH1	-0.001992288	0.99856987
C5orf30	-0.001983476	0.99856987
MRPS18A	-0.001950209	0.99856987
STARD10	-0.001943146	0.99856987
HPS4	-0.001926738	0.99856987
AGPAT1	-0.001915096	0.99856987
EZR	-0.001905452	0.99856987
LUM	-0.001892516	0.999290926
ARFGAP1	-0.001883576	0.997826128
ZNF699	-0.00185887	0.999227982
ZNF146	-0.001826554	0.997826128
EIF2B2	-0.001820031	0.99856987
CFL1	-0.001729359	0.997826128
PPIP5K1	-0.001687916	0.99856987
NAPB	-0.001647703	0.99856987
ENDOV	-0.00157645	0.99950495
SSBP2	-0.001570871	0.99856987
CUL3	-0.001564166	0.99856987
ATF6B	-0.001556456	0.99856987
GTF2A1	-0.001555614	0.99856987
AKR7A2	-0.001456522	0.99856987
OSTM1	-0.001448488	0.99856987
NIP7	-0.001442118	0.998673178
DIABLO	-0.001420438	0.99856987
SLBP	-0.001400448	0.998698944
LSM14A	-0.001389371	0.99856987
DEK	-0.001351335	0.99856987
HEATR6	-0.001341839	0.99856987
PRMT2	-0.001251676	0.99856987
SUN1	-0.001249968	0.99856987
PGK1	-0.001217122	0.99856987
SEMA3B	-0.001159574	0.99950495
THRAP3	-0.001114673	0.99856987
PPP2R2C	-0.001067884	0.999927799
YKT6	-0.00104278	0.99856987
PARP2	-0.001001474	0.99950495
SLC35E2B	-0.000980543	0.99950495
STK32C	-0.000955264	0.999927799
HDAC9	-0.000936284	0.9997586
CSNK1G2	-0.000891281	0.999290926
RNF139	-0.00085053	0.99916164
ATXN10	-0.000816062	0.99950495
EYA3	-0.000758189	0.998775556
HIVEP1	-0.000751077	0.999690486
TMX2	-0.000717153	0.999181884
HSD17B4	-0.000662261	0.999690486
PEX5	-0.000661133	0.999690486
CACNA1C	-0.000640074	0.999927799
SLC27A5	-0.000639163	0.999927799
PCDHA5	-0.000598943	NA
RFPL2	-0.000598943	NA
ARL13A	-0.000598943	NA
CACNG6	-0.000598943	NA
OR56A1	-0.000598943	NA
AKIRIN1	-0.000571427	0.999927799
HBA1	-0.000540872	0.999927799
AP4E1	-0.000489465	0.999690486
PPIH	-0.000486233	0.999927799
IFT52	-0.000471783	0.999927799
SLC1A7	-0.000453381	NA
NEDD4	-0.00041212	0.999927799
ATP5B	-0.000402613	0.999927799
KLHL18	-0.000375954	0.999927799
DHX29	-0.000364551	0.999690486
UCP2	-0.000359658	0.999927799
ADARB2	-0.000306967	0.999963507
KLF2	-0.000262989	0.999963507
MCAM	-0.000252773	0.999953232
DDX39A	-0.000195984	0.999927799
TTLL5	-0.000192248	0.999927799
SNTA1	-0.000173715	0.999963507
ABCC11	-0.000158207	0.999963507
GLYR1	-0.000126773	0.999927799
OFD1	-6.59E-05	0.999963507
DENND2C	-6.16E-05	NA
MAPRE1	-3.20E-05	0.999963507
CENPH	-1.48E-05	0.999963507
TNFSF14	9.64E-06	0.999963507
USP35	3.16E-05	0.999963507
RNF111	4.31E-05	0.999963507
CCDC24	4.50E-05	0.999963507
EXT2	0.000145794	0.999927799
UBA3	0.000194329	0.999927799
PHF8	0.000214665	0.999927799
CLPB	0.00022592	0.999927799
PEX11A	0.00024357	0.999927799
ATP8B2	0.000250577	0.999927799
KRTAP17-1	0.000279983	NA
UBE2G2	0.000280626	0.999927799
SMPDL3A	0.000283222	0.999927799
PAM16	0.00029106	NA
KRTAP10-11	0.000307934	NA
CCL21	0.000307934	NA
SPDYE3	0.000307934	NA
OR6V1	0.000307934	NA
LRRC72	0.000307934	NA
MAGEC3	0.000307934	NA
PRR15L	0.000307934	NA
PROC	0.000307934	NA
CHM	0.000318866	0.999927799
TBC1D8B	0.000343697	0.999927799
GMNC	0.000347848	NA
CMC2	0.00036857	0.999927799
XXYLT1	0.000382644	0.999927799
TMEM104	0.000402645	0.999927799
PTPN2	0.00041988	0.999690486
ZNF382	0.000480622	0.999927799
ERCC3	0.00048378	0.999690486
U2AF1	0.000498101	0.999690486
MLF2	0.000528815	0.999690486
CSPP1	0.000625867	0.999851343
PHF21B	0.000634107	NA
PER2	0.000687713	0.999927799
FASTKD2	0.000692424	0.99950495
APBA1	0.000725117	0.999927799
UXT	0.000793132	0.999607912
CAMTA2	0.000798624	0.99950495
INCENP	0.000839486	0.999690486
ZNF85	0.000934587	0.999690486
INPP4B	0.000980463	0.999690486
POMGNT1	0.000996602	0.99950495
REXO2	0.001010127	0.99856987
TOMM34	0.001090153	0.99856987
CROT	0.001115282	0.999690486
TRAPPC6B	0.001234194	0.99856987
ZXDC	0.001298104	0.99856987
PRPS2	0.001304851	0.999614285
ZP2	0.001354303	0.99950495
NDUFS4	0.001385397	0.99856987
CYB5D2	0.001401595	0.99856987
TMEM102	0.001425239	0.999566142
YY1AP1	0.001487682	0.99856987
NME7	0.001644138	0.99950495
SLC46A3	0.001676749	0.998775556
C21orf33	0.001735938	0.99856987
CD46	0.001738455	0.99849344
PTPN6	0.001740052	0.99856987
VPS18	0.001799908	0.99856987
ATP6V1E1	0.001819752	0.99856987
ZDHHC22	0.00182445	NA
RAD9A	0.001824568	0.99856987
MTX2	0.001836141	0.99856987
MRPL32	0.001888068	0.99856987
CTR9	0.001944829	0.99856987
RAD21	0.001953748	0.997826128
CYP4V2	0.001959294	0.99856987
ALDH7A1	0.001967906	0.99856987
KCNA10	0.001973965	NA
CSTF2	0.001990283	0.99856987
ZNF114	0.00201253	0.999290926
KIAA1324	0.002020207	0.99856987
MEX3C	0.002051928	0.99856987
GLI3	0.002077885	0.99856987
BLOC1S1	0.002101641	0.99856987
MPI	0.002118173	0.99856987
GNAT1	0.002184474	NA
B3GALNT2	0.002189496	0.99856987
FGF14	0.002230112	NA
PPAPDC2	0.002232269	0.99856987
KIAA1522	0.002243479	0.99856987
KBTBD2	0.002246298	0.99856987
TMX4	0.002257142	0.99856987
ATXN3	0.002273168	0.997826128
VWA7	0.002301807	NA
ETHE1	0.002303143	0.99856987
LRRK1	0.002316583	0.99856987
ARHGAP9	0.002317758	0.99856987
MKI67	0.002370548	0.99856987
ZNF518A	0.002393871	0.997826128
RAD21L1	0.002414238	NA
FXYD4	0.002414238	NA
ZNF335	0.002420752	0.99856987
LLGL2	0.002421149	0.99856987
BMP1	0.002425389	0.99856987
NSRP1	0.002450636	0.99856987
PAIP2B	0.002465057	0.998644657
MRPL17	0.002465822	0.99856987
CYBRD1	0.002505859	0.99856987
KIAA1107	0.002626097	0.99856987
HLA-B	0.002628516	0.99856987
ZNF138	0.002661964	0.99856987
VPS36	0.002663585	0.997826128
IPO11	0.002677255	0.997826128
UBA2	0.00268579	0.997826128
STX4	0.002709828	0.997826128
PRRT4	0.002767679	NA
TOX	0.002780094	0.998673178
CREB3L2	0.00279597	0.998018029
OR13C3	0.002800746	NA
OR1S1	0.002800746	NA
BRS3	0.002800746	NA
SCTR	0.002800746	NA
MADCAM1	0.002800746	NA
KRTAP20-3	0.002800746	NA
CNOT8	0.002838926	0.997826128
RBM47	0.002891639	0.997826128
SLC35B1	0.002920746	0.99849344
PABPN1L	0.002927869	NA
PGK2	0.002927869	NA
CRBN	0.002955512	0.997826128
ZNF486	0.002960301	0.99856987
HPS1	0.002961642	0.99856987
GJB2	0.002965103	NA
AKAP8	0.002981525	0.997826128
ARHGAP17	0.003059773	0.99856987
VPS35	0.00307358	0.997826128
CCDC85C	0.003082137	0.99856987
ANAPC2	0.003108095	0.998118295
SETDB1	0.003199909	0.997753628
LONP1	0.003216617	0.997826128
GHITM	0.003235856	0.997826128
OPALIN	0.003337176	NA
NCAN	0.003337176	NA
KRTAP6-3	0.003337176	NA
PAX3	0.003337176	NA
LACRT	0.003337176	NA
RNPS1	0.003404566	0.997753628
CNPY1	0.003420826	NA
C16orf3	0.003420826	NA
FAM186A	0.003420826	NA
PAX4	0.003420826	NA
ARSH	0.003420826	NA
OR1N2	0.003420826	NA
LY6H	0.003420826	NA
TBR1	0.003420826	NA
INCA1	0.00342422	0.99856987
LYSMD3	0.003441448	0.997798494
SLC9A7	0.003453138	0.997826128
KDM4C	0.00346278	0.997826128
PLN	0.003466323	NA
SNUPN	0.003500638	0.99856987
CEP55	0.003500844	0.99856987
CITED1	0.003569125	NA
HP1BP3	0.003572434	0.997753628
RDM1	0.003584219	NA
PSMD12	0.003590684	0.997753628
TNFAIP1	0.003600265	0.997826128
APRT	0.003606677	0.997826128
PIH1D1	0.00360991	0.997826128
WDR78	0.003640981	0.99856987
HIST1H1B	0.003674015	0.99856987
GNA13	0.003675452	0.997753628
MRPS22	0.003688537	0.997826128
CRK	0.003699148	0.997753628
CLEC1B	0.003713278	NA
C6orf25	0.003734598	0.99856987
CIRBP	0.003737057	0.997826128
CALML4	0.003769016	0.99856987
UPK3BL	0.003775947	0.99856987
PKD2	0.003816364	0.997753628
OPA3	0.003843382	0.997826128
MMP10	0.003855709	NA
HSPA8	0.003872579	0.997826128
PGM2L1	0.003918114	0.997826128
ENPEP	0.003925218	0.99856987
SLC25A39	0.003927159	0.997826128
POLD1	0.004000165	0.997826128
ELF3	0.004005193	0.997826128
KCTD7	0.004016668	0.997826128
LMBR1L	0.004029048	0.997753628
DONSON	0.004167041	0.997826128
TNFSF18	0.004199661	NA
REL	0.00423085	0.997826128
GTF3C2	0.004257076	0.997753628
ZNF124	0.004257843	0.99856987
ELOF1	0.004272365	0.997826128
BTF3L4	0.00430203	0.997753628
KIAA1731	0.004312961	0.997826128
SMG5	0.004357498	0.997753628
XPNPEP3	0.004360173	0.997753628
UBE2J2	0.004459521	0.997753628
CORO7	0.004474736	0.997826128
EVI2A	0.004483322	0.997826128
IARS2	0.00456496	0.997753628
DDX52	0.004625359	0.997816246
RPL34	0.004631858	0.997753628
RNF151	0.004653107	NA
SIX2	0.004653107	NA
PLEKHO1	0.004730465	0.997826128
SF3A3	0.004740892	0.997753628
SNX18	0.004754458	0.997826128
MTA2	0.004774162	0.997753628
RPL30	0.004788795	0.997753628
SLC46A2	0.004798233	NA
NAT2	0.004837408	0.99856987
COX18	0.004862646	0.997753628
EBAG9	0.004879996	0.997753628
HMOX1	0.004885465	0.997753628
HIST1H1C	0.004890692	0.997826128
ADH7	0.004953011	NA
OR2A25	0.004953011	NA
TFAP2D	0.004953011	NA
GPRC6A	0.004953011	NA
CNGB3	0.004953011	NA
KRT9	0.004953011	NA
GSC	0.004953011	NA
OR1K1	0.004953011	NA
TMEM221	0.004953011	NA
DEAF1	0.004985979	0.997826128
SLC2A14	0.00501581	NA
ZMYM6	0.005052973	0.997753628
FAM188A	0.005063283	0.997753628
PUS7	0.005084126	0.997826128
USP43	0.005128919	0.997826128
PDPK1	0.0051349	0.997753628
DHDH	0.005138389	NA
PHF6	0.005145815	0.997826128
CTSH	0.00516473	0.99856987
EIF4E2	0.005204855	0.997798494
HIST1H4B	0.005253144	0.997826128
PLEKHF2	0.005366439	0.997753628
CDK5RAP1	0.005369679	0.997753628
RNGTT	0.005398658	0.997826128
PLRG1	0.005406121	0.997753628
EXOC3	0.005432725	0.997753628
EIF2S1	0.005473843	0.997753628
RLIM	0.005534351	0.997753628
KANSL2	0.005537862	0.997753628
TPM3	0.005554759	0.996724515
TMEM168	0.0055779	0.997826128
LYST	0.005581011	0.997741634
RELL1	0.005590872	0.997826128
BCLAF1	0.005809472	0.997753628
POTEH	0.005867484	NA
CCDC125	0.005879148	0.997753628
URM1	0.005890948	0.997753628
ENO4	0.005928453	NA
BMP10	0.005928453	NA
MAS1	0.005928453	NA
OR10J5	0.005928453	NA
DNAJB6	0.005978457	0.997283303
BLZF1	0.006021145	0.997753628
SPINK2	0.00602976	NA
TMED2	0.006050915	0.997753628
BLOC1S4	0.006056757	0.997826128
JAG1	0.006081476	0.997826128
ZNF33A	0.006164622	0.997753628
H2BFWT	0.006168465	NA
PSMD13	0.006190922	0.997283303
LATS1	0.006200866	0.997283303
MTRF1L	0.006202246	0.997753628
TOP2B	0.006235023	0.996724515
CEP164	0.006279938	0.997753628
LMAN2L	0.006298269	0.997826128
ZNF330	0.006339721	0.997753628
SCIN	0.006357774	0.997826128
COASY	0.00638454	0.997753628
CAPZA1	0.006386219	0.997283303
MXI1	0.00639304	0.997753628
LACTB2	0.006402127	0.997826128
GIN1	0.006456054	0.997753628
CTAGE5	0.006471439	0.997753628
PATL1	0.006525266	0.997753628
ATP2C2	0.006655813	0.99856987
KIAA0753	0.006668514	0.997753628
KRTAP5-9	0.006671878	NA
C11orf83	0.006696497	0.997826128
MON1A	0.006709099	0.997826128
FBXL7	0.006723473	0.997826128
SLC2A4	0.006739652	0.997753628
CYP8B1	0.006764862	0.997826128
NFYA	0.006773119	0.997753628
BCL2L10	0.006836415	NA
SHISA7	0.006836415	NA
TPO	0.006836415	NA
OR2L5	0.006836415	NA
MYH4	0.006836415	NA
CHD1L	0.006856705	0.997753628
AFTPH	0.006911574	0.997283303
ZC3H6	0.006991332	0.997741634
OMP	0.007028729	NA
CAMKK2	0.007048054	0.997753628
PTCHD4	0.007104193	0.99856987
C11orf30	0.007120054	0.997283303
HPS6	0.007124876	0.997753628
NGRN	0.007143865	0.997741634
GRHL2	0.007272921	0.997753628
RAP1B	0.007287324	0.996225795
COX10	0.007351606	0.997753628
ACVR2B	0.007353571	0.997753628
ZNF468	0.007374745	0.997753628
WDR90	0.007381982	0.997753628
WTAP	0.007406247	0.995270364
SLC35F6	0.007411289	0.996225795
TMEM127	0.007416014	0.996225795
SBF2	0.007424938	0.996225795
URB2	0.007444331	0.997753628
ATP8B3	0.007481685	0.99856987
ECD	0.007533535	0.997090326
SNAPC3	0.007545517	0.997283303
ITFG1	0.007576385	0.997741634
C22orf23	0.007584783	NA
PARP6	0.007592585	0.997753628
NOBOX	0.007675421	NA
USP19	0.007741583	0.997283303
ZSCAN21	0.007772066	0.997753628
OR56A5	0.007772402	NA
ITPR1	0.007804391	0.997753628
MOAP1	0.007807096	0.997753628
DNAAF3	0.007815086	NA
TMEM130	0.007821907	0.997826128
LARP4B	0.007864414	0.997753628
MYOZ3	0.007925322	0.997826128
PLEKHA7	0.007930193	0.997753628
SMARCC1	0.00795836	0.993939864
PM20D1	0.007969547	NA
CDKN2B	0.007977858	0.997753628
MTRNR2L2	0.008021448	0.997753628
RARRES2	0.008046704	0.998538832
THAP4	0.008059742	0.997753628
PIGL	0.008089836	0.997826128
CUL9	0.008111577	0.996724515
LONRF3	0.008206813	0.99856987
STRA8	0.00824984	NA
OR9A4	0.008289834	NA
FUT9	0.008331006	0.997826128
TMEM206	0.008353623	0.997753628
MTPAP	0.008391916	0.997283303
UBA1	0.008400319	0.997283303
FARS2	0.008409811	0.997753628
CREB3L4	0.008429731	0.997753628
CD33	0.008459804	0.997826128
